Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
2952,0,0,0,0,412,101,3465,814,4279,-0.033816,0.0778663,-0.99639,0
2901,0,0,0,0,390,101,3392,819,4211,-0.032076,-0.00598802,-0.999467,0
2756,0,0,0,0,387,97,3240,837,4077,-0.0383815,-0.0908685,-0.995123,0
2902,0,0,0,0,370,101,3373,808,4181,-0.0431167,-0.170851,-0.984353,0
2761,0,0,0,0,376,95,3232,887,4119,-0.0455146,-0.258936,-0.964822,0
2881,0,0,0,0,385,96,3362,842,4204,-0.0584307,-0.333745,-0.940851,0
2663,0,0,0,0,381,99,3143,847,3990,-0.0671319,-0.392444,-0.917323,0
2909,0,0,0,0,473,100,3482,763,4245,-0.0660083,-0.49415,-0.866867,0
2660,0,0,0,0,388,101,3149,806,3955,-0.0618374,-0.508123,-0.859062,0
2610,0,0,0,0,402,100,3112,769,3881,-0.0105973,0.0364171,-0.99928,0
2533,0,0,0,0,420,98,3051,754,3805,-0.0204316,-0.0451555,-0.998771,0
3006,0,0,0,0,622,133,3761,1144,4905,-0.0226368,-0.117149,-0.992856,0
2772,0,0,0,0,486,108,3366,805,4171,-0.00640323,0.0493997,-0.998759,0
2825,0,0,0,0,493,129,3447,759,4206,-0.00645958,-0.0457889,-0.99893,0
2721,0,0,0,0,422,99,3242,745,3987,-0.0102194,-0.127016,-0.991848,0
2765,0,0,0,0,434,98,3297,803,4100,0.0113616,-0.221933,-0.974996,0
2593,0,0,0,0,395,96,3084,855,3939,-0.00966738,0.0546682,-0.998458,0
2872,0,0,0,0,527,111,3510,842,4352,0.0079352,-0.0270126,-0.999604,0
2704,0,0,0,0,414,104,3222,718,3940,0.0283296,-0.111501,-0.99336,0
2589,0,0,0,0,432,134,3155,788,3943,0.0337746,-0.195324,-0.980157,0
2638,0,0,0,0,416,120,3174,819,3993,0.034388,-0.274646,-0.96093,0
2682,0,0,0,0,455,106,3243,747,3990,0.013771,0.0415193,-0.999043,0
2666,0,0,0,0,411,103,3180,829,4009,0.0117207,-0.0422313,-0.999039,0
2842,0,0,0,0,515,146,3503,827,4330,0.0321889,-0.114992,-0.992845,0
2684,0,0,0,0,394,99,3177,904,4081,0.0316959,-0.157839,-0.986956,0
3104,0,0,0,0,451,126,3681,828,4509,0.0322881,-0.0174604,-0.999326,0
2656,0,0,0,0,387,96,3139,857,3996,0.00869613,0.0321511,-0.999445,0
2747,0,0,0,0,431,101,3279,868,4147,0.0132106,0.0408916,-0.999076,0
2863,0,0,0,0,357,91,3311,838,4149,0.038049,-0.0494884,-0.99805,0
2794,0,0,0,0,341,89,3224,828,4052,0.0412302,-0.116191,-0.992371,0
3725,0,0,0,0,517,115,4357,1394,5751,0.00218445,0.033336,-0.999442,0
2825,0,0,0,0,313,89,3227,879,4106,-0.00377193,0.00089041,-0.999992,0
2629,0,0,0,0,248,65,2942,786,3728,0.0123277,-0.0878175,-0.99606,0
3058,0,0,0,0,229,62,3349,913,4262,0.00468127,-0.172638,-0.984974,0
2473,0,0,0,0,203,52,2728,860,3588,0.00215638,-0.224951,-0.974368,0
2586,0,0,0,0,186,50,2822,908,3730,-0.0140065,-0.285497,-0.958277,0
