timestamp,pid,cpu_percent,ram_rss_mb,ram_vms_mb,ram_percent
1784806012.107,2384,0.00,14.57,486.30,0.05
1784806012.157,2372,159.50,122.99,1647.71,0.39
1784806012.157,2375,0.00,14.41,486.30,0.05
1784806012.157,2384,0.00,14.57,486.30,0.05
1784806012.207,2372,579.50,122.99,1647.71,0.39
1784806012.207,2375,0.00,14.41,486.30,0.05
1784806012.207,2384,0.00,14.57,486.30,0.05
1784806012.257,2372,319.60,122.99,1647.71,0.39
1784806012.257,2375,0.00,14.41,486.30,0.05
1784806012.257,2384,0.00,14.57,486.30,0.05
1784806012.307,2372,199.60,122.99,1647.71,0.39
1784806012.307,2375,0.00,14.41,486.30,0.05
1784806012.307,2384,0.00,14.57,486.30,0.05
1784806012.357,2372,379.30,123.12,1647.71,0.39
1784806012.357,2375,0.00,14.41,486.30,0.05
1784806012.357,2384,0.00,14.57,486.30,0.05
1784806012.408,2372,219.60,123.49,1647.71,0.39
1784806012.408,2375,0.00,14.41,486.30,0.05
1784806012.408,2384,0.00,14.57,486.30,0.05
1784806012.458,2372,399.20,123.74,1647.71,0.39
1784806012.458,2375,20.00,14.41,486.30,0.05
1784806012.458,2384,0.00,14.57,486.30,0.05
1784806012.508,2372,239.50,123.74,1647.71,0.39
1784806012.508,2375,0.00,14.41,486.30,0.05
1784806012.508,2384,0.00,14.57,486.30,0.05
1784806012.558,2372,339.40,123.74,1647.71,0.39
1784806012.558,2375,0.00,14.41,486.30,0.05
1784806012.558,2384,0.00,14.57,486.30,0.05
1784806012.608,2372,199.70,123.74,1647.71,0.39
1784806012.608,2375,0.00,14.41,486.30,0.05
1784806012.608,2384,0.00,14.57,486.30,0.05
1784806012.658,2372,359.60,123.74,1647.71,0.39
1784806012.658,2375,0.00,14.41,486.30,0.05
1784806012.658,2384,0.00,14.57,486.30,0.05
1784806012.708,2372,299.50,123.74,1647.71,0.39
1784806012.708,2375,0.00,14.41,486.30,0.05
1784806012.708,2384,0.00,14.57,486.30,0.05
1784806012.758,2372,359.60,124.99,1647.71,0.39
1784806012.758,2375,0.00,14.41,486.30,0.05
1784806012.758,2384,0.00,14.57,486.30,0.05
1784806012.808,2372,239.60,124.99,1647.71,0.39
1784806012.808,2375,0.00,14.41,486.30,0.05
1784806012.808,2384,0.00,14.57,486.30,0.05
1784806012.858,2372,339.60,128.99,1647.71,0.41
1784806012.858,2375,0.00,14.41,486.30,0.05
1784806012.858,2384,0.00,14.57,486.30,0.05
1784806012.908,2372,159.70,128.99,1647.71,0.41
1784806012.908,2375,0.00,14.41,486.30,0.05
1784806012.908,2384,0.00,14.57,486.30,0.05
1784806012.958,2372,419.30,129.12,1647.71,0.41
1784806012.958,2375,0.00,14.41,486.30,0.05
1784806012.958,2384,0.00,14.57,486.30,0.05
1784806013.009,2372,139.60,129.12,1647.71,0.41
1784806013.009,2375,0.00,14.41,486.30,0.05
1784806013.009,2384,0.00,14.57,486.30,0.05
1784806013.059,2372,579.60,129.12,1647.71,0.41
1784806013.059,2375,0.00,14.41,486.30,0.05
1784806013.059,2384,0.00,14.57,486.30,0.05
1784806013.109,2372,299.40,129.12,1647.71,0.41
1784806013.109,2375,0.00,14.41,486.30,0.05
1784806013.109,2384,0.00,14.57,486.30,0.05
1784806013.159,2372,279.40,129.12,1647.71,0.41
1784806013.159,2375,0.00,14.41,486.30,0.05
1784806013.159,2384,0.00,14.57,486.30,0.05
1784806013.209,2372,339.40,129.12,1647.71,0.41
1784806013.209,2375,0.00,14.41,486.30,0.05
1784806013.209,2384,0.00,14.57,486.30,0.05
1784806013.259,2372,359.40,129.62,1647.71,0.41
1784806013.259,2375,0.00,14.41,486.30,0.05
1784806013.259,2384,0.00,14.57,486.30,0.05
1784806013.309,2372,398.70,129.74,1647.71,0.41
1784806013.309,2375,0.00,14.41,486.30,0.05
1784806013.309,2384,0.00,14.57,486.30,0.05
1784806013.359,2372,379.50,129.74,1647.71,0.41
1784806013.359,2375,0.00,14.41,486.30,0.05
1784806013.359,2384,0.00,14.57,486.30,0.05
1784806013.409,2372,359.10,130.24,1647.71,0.41
1784806013.409,2375,0.00,14.41,486.30,0.05
1784806013.409,2384,0.00,14.57,486.30,0.05
1784806013.459,2372,519.60,131.62,1647.71,0.42
1784806013.459,2375,0.00,14.41,486.30,0.05
1784806013.459,2384,0.00,14.57,486.30,0.05
1784806013.509,2372,379.30,134.12,1647.71,0.42
1784806013.509,2375,0.00,14.41,486.30,0.05
1784806013.509,2384,0.00,14.57,486.30,0.05
1784806013.560,2372,179.80,134.12,1647.71,0.42
1784806013.560,2375,0.00,14.41,486.30,0.05
1784806013.560,2384,0.00,14.57,486.30,0.05
1784806013.610,2372,599.20,135.46,1647.71,0.43
1784806013.610,2375,0.00,14.41,486.30,0.05
1784806013.610,2384,0.00,14.57,486.30,0.05
1784806013.660,2372,419.40,136.21,1647.71,0.43
1784806013.660,2375,0.00,14.41,486.30,0.05
1784806013.660,2384,0.00,14.57,486.30,0.05
1784806013.710,2372,519.30,143.21,1647.71,0.45
1784806013.710,2375,0.00,14.41,486.30,0.05
1784806013.710,2384,0.00,14.57,486.30,0.05
1784806013.760,2372,399.20,140.36,1650.73,0.44
1784806013.760,2375,0.00,14.41,486.30,0.05
1784806013.760,2384,0.00,14.57,486.30,0.05
1784806013.810,2372,458.90,142.57,1647.71,0.45
1784806013.810,2375,0.00,14.41,486.30,0.05
1784806013.810,2384,0.00,14.57,486.30,0.05
1784806013.860,2372,619.00,142.57,1647.71,0.45
1784806013.860,2375,0.00,14.41,486.30,0.05
1784806013.860,2384,0.00,14.57,486.30,0.05
1784806013.910,2372,459.40,146.94,1647.71,0.46
1784806013.910,2375,0.00,14.41,486.30,0.05
1784806013.910,2384,0.00,14.57,486.30,0.05
1784806013.960,2372,539.00,147.07,1647.71,0.46
1784806013.960,2375,0.00,14.41,486.30,0.05
1784806013.960,2384,0.00,14.57,486.30,0.05
1784806014.010,2372,419.30,147.32,1647.71,0.47
1784806014.010,2375,0.00,14.41,486.30,0.05
1784806014.010,2384,0.00,14.57,486.30,0.05
1784806014.060,2372,359.70,144.12,1647.71,0.46
1784806014.060,2375,0.00,14.41,486.30,0.05
1784806014.060,2384,0.00,14.57,486.30,0.05
1784806014.110,2372,578.90,150.18,1647.71,0.47
1784806014.110,2375,0.00,14.41,486.30,0.05
1784806014.110,2384,0.00,14.57,486.30,0.05
1784806014.161,2372,359.40,152.23,1647.71,0.48
1784806014.161,2375,0.00,14.41,486.30,0.05
1784806014.161,2384,0.00,14.57,486.30,0.05
1784806014.211,2372,279.50,152.23,1647.71,0.48
1784806014.211,2375,0.00,14.41,486.30,0.05
1784806014.211,2384,0.00,14.57,486.30,0.05
1784806014.261,2372,559.00,165.48,1647.71,0.52
1784806014.261,2375,0.00,14.41,486.30,0.05
1784806014.261,2384,0.00,14.57,486.30,0.05
1784806014.311,2372,279.50,170.23,1647.71,0.54
1784806014.311,2375,0.00,14.41,486.30,0.05
1784806014.311,2384,0.00,14.57,486.30,0.05
1784806014.361,2372,299.30,170.23,1647.71,0.54
1784806014.361,2375,0.00,14.41,486.30,0.05
1784806014.361,2384,0.00,14.57,486.30,0.05
1784806014.411,2372,379.30,170.23,1647.71,0.54
