timestamp,pid,cpu_percent,ram_rss_mb,ram_vms_mb,ram_percent
1784806545.134,3309,0.00,14.66,486.30,0.05
1784806545.184,3303,339.60,131.32,1647.68,0.41
1784806545.184,3308,0.00,14.41,486.30,0.05
1784806545.184,3309,0.00,14.66,486.30,0.05
1784806545.234,3303,299.50,133.19,1647.68,0.42
1784806545.234,3308,0.00,14.41,486.30,0.05
1784806545.234,3309,0.00,14.66,486.30,0.05
1784806545.284,3303,339.30,134.82,1647.68,0.43
1784806545.284,3308,0.00,14.41,486.30,0.05
1784806545.284,3309,0.00,14.66,486.30,0.05
1784806545.334,3303,718.50,134.82,1647.68,0.43
1784806545.334,3308,0.00,14.41,486.30,0.05
1784806545.334,3309,0.00,14.66,486.30,0.05
1784806545.384,3303,359.60,135.07,1647.68,0.43
1784806545.384,3308,0.00,14.41,486.30,0.05
1784806545.384,3309,0.00,14.66,486.30,0.05
1784806545.434,3303,359.40,135.77,1647.68,0.43
1784806545.434,3308,0.00,14.41,486.30,0.05
1784806545.434,3309,0.00,14.66,486.30,0.05
1784806545.484,3303,499.40,137.52,1647.68,0.43
1784806545.484,3308,0.00,14.41,486.30,0.05
1784806545.484,3309,0.00,14.66,486.30,0.05
1784806545.535,3303,519.30,140.27,1647.68,0.44
1784806545.535,3308,0.00,14.41,486.30,0.05
1784806545.535,3309,0.00,14.66,486.30,0.05
1784806545.585,3303,239.50,138.66,1647.68,0.44
1784806545.585,3308,0.00,14.41,486.30,0.05
1784806545.585,3309,0.00,14.66,486.30,0.05
1784806545.635,3303,618.90,141.78,1651.68,0.45
1784806545.635,3308,0.00,14.41,486.30,0.05
1784806545.635,3309,0.00,14.66,486.30,0.05
1784806545.685,3303,299.40,143.47,1647.68,0.45
1784806545.685,3308,0.00,14.41,486.30,0.05
1784806545.685,3309,0.00,14.66,486.30,0.05
1784806545.735,3303,259.40,145.47,1647.68,0.46
1784806545.735,3308,0.00,14.41,486.30,0.05
1784806545.735,3309,0.00,14.66,486.30,0.05
1784806545.785,3303,459.50,136.25,1647.68,0.43
1784806545.785,3308,0.00,14.41,486.30,0.05
1784806545.785,3309,0.00,14.66,486.30,0.05
1784806545.835,3303,239.50,144.50,1647.68,0.46
1784806545.835,3308,0.00,14.41,486.30,0.05
1784806545.835,3309,0.00,14.66,486.30,0.05
1784806545.885,3303,459.10,146.38,1647.68,0.46
1784806545.885,3308,0.00,14.41,486.30,0.05
1784806545.885,3309,0.00,14.66,486.30,0.05
1784806545.935,3303,239.50,147.12,1647.68,0.46
1784806545.935,3308,0.00,14.41,486.30,0.05
1784806545.935,3309,0.00,14.66,486.30,0.05
1784806545.985,3303,439.60,136.02,1647.68,0.43
1784806545.985,3308,0.00,14.41,486.30,0.05
1784806545.985,3309,0.00,14.66,486.30,0.05
1784806546.035,3303,19.90,146.14,1647.68,0.46
1784806546.035,3308,0.00,14.41,486.30,0.05
1784806546.035,3309,0.00,14.66,486.30,0.05
1784806546.085,3303,280.20,148.39,1647.68,0.47
1784806546.085,3308,0.00,14.41,486.30,0.05
1784806546.085,3309,0.00,14.66,486.30,0.05
1784806546.136,3303,20.00,150.14,1647.68,0.47
1784806546.136,3308,19.80,14.41,486.30,0.05
1784806546.136,3309,0.00,14.66,486.30,0.05
1784806546.186,3303,119.80,150.14,1647.68,0.47
1784806546.186,3308,0.00,14.41,486.30,0.05
1784806546.186,3309,0.00,14.66,486.30,0.05
1784806546.236,3303,99.80,150.27,1647.68,0.47
1784806546.236,3308,0.00,14.41,486.30,0.05
1784806546.236,3309,0.00,14.66,486.30,0.05
1784806546.286,3303,159.80,150.27,1647.68,0.47
1784806546.286,3308,0.00,14.41,486.30,0.05
1784806546.286,3309,0.00,14.66,486.30,0.05
1784806546.336,3303,219.50,141.48,1647.68,0.45
1784806546.336,3308,0.00,14.41,486.30,0.05
1784806546.336,3309,0.00,14.66,486.30,0.05
1784806546.386,3303,219.70,150.23,1647.68,0.47
1784806546.386,3308,0.00,14.41,486.30,0.05
1784806546.386,3309,0.00,14.66,486.30,0.05
1784806546.436,3303,379.00,151.10,1647.68,0.48
1784806546.436,3308,0.00,14.41,486.30,0.05
1784806546.436,3309,0.00,14.66,486.30,0.05
1784806546.486,3303,179.70,151.85,1647.68,0.48
1784806546.486,3308,0.00,14.41,486.30,0.05
1784806546.486,3309,0.00,14.66,486.30,0.05
1784806546.536,3303,459.50,143.96,1647.68,0.45
1784806546.536,3308,0.00,14.41,486.30,0.05
1784806546.536,3309,0.00,14.66,486.30,0.05
1784806546.586,3303,259.60,146.96,1647.68,0.46
1784806546.586,3308,0.00,14.41,486.30,0.05
1784806546.586,3309,0.00,14.66,486.30,0.05
1784806546.636,3303,519.10,149.46,1647.68,0.47
1784806546.636,3308,0.00,14.41,486.30,0.05
1784806546.636,3309,0.00,14.66,486.30,0.05
1784806546.687,3303,319.60,151.08,1647.68,0.48
1784806546.687,3308,0.00,14.41,486.30,0.05
1784806546.687,3309,0.00,14.66,486.30,0.05
1784806546.737,3303,639.10,151.08,1647.68,0.48
1784806546.737,3308,0.00,14.41,486.30,0.05
1784806546.737,3309,0.00,14.66,486.30,0.05
1784806546.787,3303,319.60,151.91,1647.68,0.48
1784806546.787,3308,0.00,14.41,486.30,0.05
1784806546.787,3309,0.00,14.66,486.30,0.05
1784806546.837,3303,439.50,153.41,1647.68,0.48
1784806546.837,3308,0.00,14.41,486.30,0.05
1784806546.837,3309,0.00,14.66,486.30,0.05
1784806546.887,3303,339.30,143.91,1647.68,0.45
1784806546.887,3308,0.00,14.41,486.30,0.05
1784806546.887,3309,0.00,14.66,486.30,0.05
1784806546.937,3303,658.80,146.04,1647.68,0.46
1784806546.937,3308,0.00,14.41,486.30,0.05
1784806546.937,3309,0.00,14.66,486.30,0.05
1784806546.987,3303,339.40,155.04,1647.68,0.49
1784806546.987,3308,0.00,14.41,486.30,0.05
1784806546.987,3309,0.00,14.66,486.30,0.05
1784806547.037,3303,456.90,145.97,1647.68,0.46
1784806547.037,3308,0.00,14.41,486.30,0.05
1784806547.037,3309,0.00,14.66,486.30,0.05
1784806547.087,3303,622.10,151.09,1647.68,0.48
1784806547.087,3308,0.00,14.41,486.30,0.05
1784806547.087,3309,0.00,14.66,486.30,0.05
1784806547.137,3303,379.50,170.72,1647.68,0.54
1784806547.137,3308,0.00,14.41,486.30,0.05
1784806547.137,3309,0.00,14.66,486.30,0.05
1784806547.187,3303,279.20,171.09,1647.68,0.54
1784806547.187,3308,0.00,14.41,486.30,0.05
1784806547.187,3309,0.00,14.66,486.30,0.05
1784806547.237,3303,539.70,162.12,1647.68,0.51
1784806547.237,3308,0.00,14.41,486.30,0.05
1784806547.237,3309,0.00,14.66,486.30,0.05
1784806547.288,3303,79.80,170.25,1647.68,0.54
1784806547.288,3308,0.00,14.41,486.30,0.05
1784806547.288,3309,0.00,14.66,486.30,0.05
1784806547.338,3303,379.60,161.84,1647.68,0.51
1784806547.338,3308,0.00,14.41,486.30,0.05
1784806547.338,3309,0.00,14.66,486.30,0.05
1784806547.388,3303,79.80,161.84,1647.68,0.51
1784806547.388,3308,0.00,14.41,486.30,0.05
1784806547.388,3309,0.00,14.66,486.30,0.05
1784806547.438,3303,439.30,166.84,1647.68,0.53
1784806547.438,3308,0.00,14.41,486.30,0.05
1784806547.438,3309,0.00,14.66,486.30,0.05
1784806547.488,3303,239.30,169.84,1647.68,0.54
1784806547.488,3308,0.00,14.41,486.30,0.05
1784806547.488,3309,0.00,14.66,486.30,0.05
1784806547.538,3303,500.20,170.97,1647.68,0.54
1784806547.538,3308,0.00,14.41,486.30,0.05
1784806547.538,3309,0.00,14.66,486.30,0.05
1784806547.588,3303,378.90,160.50,1647.68,0.51
1784806547.588,3308,0.00,14.41,486.30,0.05
1784806547.588,3309,0.00,14.66,486.30,0.05
1784806547.638,3303,499.40,171.88,1647.68,0.54
1784806547.638,3308,0.00,14.41,486.30,0.05
1784806547.638,3309,0.00,14.66,486.30,0.05
1784806547.688,3303,359.10,171.88,1647.68,0.54
1784806547.688,3308,0.00,14.41,486.30,0.05
1784806547.688,3309,0.00,14.66,486.30,0.05
1784806547.738,3303,519.60,172.63,1647.68,0.55
1784806547.738,3308,0.00,14.41,486.30,0.05
1784806547.738,3309,0.00,14.66,486.30,0.05
1784806547.788,3303,199.40,172.63,1647.68,0.55
1784806547.788,3308,0.00,14.41,486.30,0.05
1784806547.788,3309,0.00,14.66,486.30,0.05
1784806547.838,3303,539.70,172.63,1647.68,0.55
1784806547.838,3308,0.00,14.41,486.30,0.05
1784806547.838,3309,0.00,14.66,486.30,0.05
1784806547.889,3303,459.00,172.75,1647.68,0.55
1784806547.889,3308,0.00,14.41,486.30,0.05
1784806547.889,3309,0.00,14.66,486.30,0.05
1784806547.939,3303,359.70,173.70,1647.68,0.55
1784806547.939,3308,0.00,14.41,486.30,0.05
1784806547.939,3309,0.00,14.66,486.30,0.05
1784806547.989,3303,339.10,166.04,1647.68,0.52
1784806547.989,3308,0.00,14.41,486.30,0.05
1784806547.989,3309,0.00,14.66,486.30,0.05
1784806548.039,3303,539.00,169.42,1647.68,0.54
1784806548.039,3308,0.00,14.41,486.30,0.05
1784806548.039,3309,0.00,14.66,486.30,0.05
1784806548.089,3303,219.60,172.92,1647.68,0.55
1784806548.089,3308,0.00,14.41,486.30,0.05
1784806548.089,3309,0.00,14.66,486.30,0.05
1784806548.139,3303,219.60,173.04,1647.68,0.55
1784806548.139,3308,0.00,14.41,486.30,0.05
1784806548.139,3309,0.00,14.66,486.30,0.05
1784806548.189,3303,359.40,175.92,1647.68,0.56
1784806548.189,3308,0.00,14.41,486.30,0.05
1784806548.189,3309,0.00,14.66,486.30,0.05
1784806548.239,3303,59.90,169.46,1647.68,0.54
1784806548.239,3308,0.00,14.41,486.30,0.05
1784806548.239,3309,0.00,14.66,486.30,0.05
1784806548.289,3303,339.10,165.22,1647.68,0.52
1784806548.289,3308,0.00,14.41,486.30,0.05
1784806548.289,3309,0.00,14.66,486.30,0.05
1784806548.339,3303,99.80,168.72,1647.68,0.53
1784806548.339,3308,0.00,14.41,486.30,0.05
1784806548.339,3309,0.00,14.66,486.30,0.05
1784806548.390,3303,479.00,172.47,1647.68,0.54
1784806548.390,3308,0.00,14.41,486.30,0.05
1784806548.390,3309,0.00,14.66,486.30,0.05
1784806548.440,3303,159.80,172.59,1647.68,0.55
1784806548.440,3308,0.00,14.41,486.30,0.05
1784806548.440,3309,0.00,14.66,486.30,0.05
1784806548.490,3303,577.90,172.59,1647.68,0.55
1784806548.490,3308,0.00,14.41,486.30,0.05
1784806548.490,3309,0.00,14.66,486.30,0.05
1784806548.540,3303,459.10,173.23,1647.68,0.55
1784806548.540,3308,0.00,14.41,486.30,0.05
1784806548.540,3309,0.00,14.66,486.30,0.05
1784806548.590,3303,458.00,167.11,1647.68,0.53
1784806548.590,3308,0.00,14.41,486.30,0.05
1784806548.590,3309,0.00,14.66,486.30,0.05
1784806548.640,3303,479.90,174.48,1647.68,0.55
1784806548.640,3308,0.00,14.41,486.30,0.05
1784806548.640,3309,0.00,14.66,486.30,0.05
1784806548.690,3303,179.70,178.23,1647.68,0.56
1784806548.690,3308,0.00,14.41,486.30,0.05
1784806548.690,3309,0.00,14.66,486.30,0.05
1784806548.740,3303,439.20,168.82,1647.68,0.53
1784806548.740,3308,0.00,14.41,486.30,0.05
1784806548.740,3309,0.00,14.66,486.30,0.05
1784806548.790,3303,419.40,172.45,1647.68,0.54
1784806548.790,3308,0.00,14.41,486.30,0.05
1784806548.790,3309,0.00,14.66,486.30,0.05
1784806548.840,3303,279.50,178.32,1647.68,0.56
1784806548.840,3308,0.00,14.41,486.30,0.05
1784806548.840,3309,0.00,14.66,486.30,0.05
1784806548.891,3303,419.20,187.20,1647.68,0.59
1784806548.891,3308,0.00,14.41,486.30,0.05
1784806548.891,3309,0.00,14.66,486.30,0.05
1784806548.941,3303,219.50,194.45,1647.68,0.61
1784806548.941,3308,0.00,14.41,486.30,0.05
1784806548.941,3309,0.00,14.66,486.30,0.05
1784806548.991,3303,539.50,194.45,1647.68,0.61
1784806548.991,3308,0.00,14.41,486.30,0.05
1784806548.991,3309,0.00,14.66,486.30,0.05
1784806549.041,3303,239.30,179.67,1647.68,0.57
1784806549.041,3308,0.00,14.41,486.30,0.05
1784806549.041,3309,0.00,14.66,486.30,0.05
1784806549.091,3303,480.10,191.55,1647.68,0.61
1784806549.091,3308,0.00,14.41,486.30,0.05
1784806549.091,3309,0.00,14.66,486.30,0.05
1784806549.141,3303,219.70,178.89,1647.68,0.57
1784806549.141,3308,0.00,14.41,486.30,0.05
1784806549.141,3309,0.00,14.66,486.30,0.05
1784806549.191,3303,479.10,192.14,1647.68,0.61
1784806549.191,3308,0.00,14.41,486.30,0.05
1784806549.191,3309,0.00,14.66,486.30,0.05
1784806549.241,3303,518.80,196.27,1647.68,0.62
1784806549.241,3308,0.00,14.41,486.30,0.05
1784806549.241,3309,0.00,14.66,486.30,0.05
1784806549.291,3303,499.50,200.02,1647.68,0.63
1784806549.291,3308,0.00,14.41,486.30,0.05
1784806549.291,3309,0.00,14.66,486.30,0.05
1784806549.341,3303,259.50,200.27,1647.68,0.63
1784806549.341,3308,0.00,14.41,486.30,0.05
1784806549.341,3309,0.00,14.66,486.30,0.05
1784806549.391,3303,239.40,176.40,1647.68,0.56
1784806549.391,3308,0.00,14.41,486.30,0.05
1784806549.391,3309,0.00,14.66,486.30,0.05
1784806549.442,3303,199.70,191.90,1647.68,0.61
1784806549.442,3308,0.00,14.41,486.30,0.05
1784806549.442,3309,0.00,14.66,486.30,0.05
1784806549.492,3303,39.90,196.15,1647.68,0.62
1784806549.492,3308,0.00,14.41,486.30,0.05
1784806549.492,3309,0.00,14.66,486.30,0.05
1784806549.542,3303,299.70,199.90,1647.68,0.63
1784806549.542,3308,0.00,14.41,486.30,0.05
1784806549.542,3309,0.00,14.66,486.30,0.05
1784806549.592,3303,59.80,180.60,1647.68,0.57
1784806549.592,3308,0.00,14.41,486.30,0.05
1784806549.592,3309,0.00,14.66,486.30,0.05
1784806549.642,3303,419.60,193.23,1647.68,0.61
1784806549.642,3308,20.20,14.41,486.30,0.05
1784806549.642,3309,0.00,14.66,486.30,0.05
1784806549.692,3303,279.20,179.43,1647.68,0.57
1784806549.692,3308,0.00,14.41,486.30,0.05
1784806549.692,3309,0.00,14.66,486.30,0.05
1784806549.742,3303,519.40,193.43,1647.68,0.61
1784806549.742,3308,0.00,14.41,486.30,0.05
1784806549.742,3309,0.00,14.66,486.30,0.05
1784806549.792,3303,399.60,197.93,1647.68,0.63
1784806549.792,3308,0.00,14.41,486.30,0.05
1784806549.792,3309,0.00,14.66,486.30,0.05
1784806549.842,3303,199.50,201.55,1647.68,0.64
1784806549.842,3308,0.00,14.41,486.30,0.05
1784806549.842,3309,0.00,14.66,486.30,0.05
1784806549.892,3303,519.50,181.89,1647.68,0.57
1784806549.892,3308,0.00,14.41,486.30,0.05
1784806549.892,3309,0.00,14.66,486.30,0.05
1784806549.942,3303,239.30,194.77,1647.68,0.62
1784806549.942,3308,0.00,14.41,486.30,0.05
