Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
4999,0,1702,310,2398,41,173,9623,10059,19682,0.0110672,-0.19456,-0.980828
2111,0,753,129,992,8,74,4067,6003,10070,-0.0129034,-0.200391,-0.979631
2201,0,709,121,943,8,64,4046,3258,7304,0.221603,0.148848,-0.96371
2466,0,868,158,1151,10,79,4732,-1,-1,-1,-1,-1
2535,0,893,186,1207,10,83,4914,4350,9264,0.328075,0.407263,-0.852352
2593,0,1192,164,1196,11,91,5247,6884,12131,0.427534,0.622103,-0.655898
2127,0,737,120,1009,8,75,4076,4288,8364,0.321265,0.570954,-0.755513
7609,0,2350,440,3360,23,251,14033,8342,22375,0.42822,0.804886,-0.410836
2388,0,799,135,1106,9,76,4513,4247,8760,-0.481426,-0.320505,-0.815785
6585,0,2287,384,3240,27,256,12779,7990,20769,-0.0256938,0.504624,-0.862957
6581,0,1589,264,2126,19,153,10732,5381,16113,0.290824,0.521382,-0.802236
2357,0,843,144,1122,8,83,4557,3761,8318,0.291797,0.802989,-0.519676
6684,0,2524,442,2975,21,172,12818,7779,20597,0.161645,0.526609,-0.834598
1587,0,560,111,777,7,53,3095,3133,6228,-0.00578298,-0.191816,-0.981414
1581,0,568,126,712,6,74,3067,4542,7609,-0.0616494,-0.238683,-0.969139
1486,0,568,98,784,7,92,3035,4349,7384,-0.26036,-0.398498,-0.879438
1464,0,548,107,780,8,56,2963,4406,7369,0.138376,-0.0494509,-0.989144
1472,0,546,117,779,23,84,3021,4167,7188,0.677428,0.427765,-0.598422
2307,0,785,131,1019,9,66,4317,6992,11309,0.168097,-0.821622,-0.544683
2106,0,775,151,1137,7,125,4301,-1,-1,-1,-1,-1
1513,0,615,122,761,7,74,3092,6412,9504,0.413006,0.83894,-0.354408
1468,0,548,154,711,8,53,2942,6541,9483,0.391981,0.789072,-0.472986
1467,0,545,93,773,6,70,2954,4082,7036,-0.0022593,0.200578,-0.979675
1602,0,568,144,807,9,64,3194,3725,6919,0.393529,0.701292,-0.594412
1533,0,724,139,795,7,97,3295,1849,5144,-0.369848,-0.226326,-0.901104
1441,0,616,134,817,25,57,3090,4168,7258,0.217153,0.698437,-0.681931
1676,0,590,152,787,7,77,3289,3222,6511,-0.159728,-0.513957,-0.842814
1460,0,592,109,834,8,54,3057,2903,5960,0.0785566,0.422371,-0.903012
1578,0,593,84,739,7,55,3056,-1,-1,-1,-1,-1
1531,0,556,165,748,7,69,3076,2801,5877,0.599595,0.723332,-0.342456
1501,0,561,126,745,5,50,2988,4040,7028,0.555975,-0.266215,-0.787415
2210,0,604,142,824,7,73,3860,5360,9220,-0.0269728,-0.186546,-0.982076
1451,0,594,137,760,7,74,3023,3475,6498,-0.513866,-0.646523,-0.563871
1429,0,604,134,812,23,60,3062,2590,5652,-0.299846,-0.620406,-0.724699
1446,0,580,116,726,7,77,2952,4708,7660,-0.0123644,-0.216111,-0.976291
1447,0,529,115,856,8,77,3032,2485,5517,-0.0977208,-0.252347,-0.96269
1551,0,605,143,832,25,49,3205,1338,4543,0.596654,0.710883,-0.372357
1409,0,559,122,788,8,52,2938,3302,6240,0.255828,0.213421,-0.94287
1469,0,609,117,739,8,74,3016,2927,5943,-0.0296148,0.646993,-0.761921
1516,0,539,90,713,8,50,2916,3049,5965,0.224231,0.700275,-0.677743
2677,0,959,174,1314,13,93,5230,5007,10237,0.413794,0.805788,-0.423652
5377,0,1872,318,2296,21,165,10049,8290,18339,0.419621,0.816101,-0.397363
2989,0,1002,188,1385,13,97,5674,5767,11441,0.405055,0.791776,-0.457189
2952,0,1013,177,1355,13,98,5608,3485,9093,0.287441,0.884793,-0.366769
5341,0,1860,322,2582,23,181,10309,18094,28403,-0.6011,-0.638291,-0.480899
2125,0,756,131,1036,9,73,4130,4686,8816,0.151239,0.58936,-0.793588
2668,0,938,159,1323,10,86,5184,-1,-1,-1,-1,-1
5307,0,1877,334,2633,21,185,10357,-1,-1,-1,-1,-1
2581,0,900,153,1245,10,104,4993,4532,9525,0.041087,-0.430873,-0.901477
2458,0,860,145,1153,8,89,4713,3825,8538,0.396028,0.530726,-0.749328
3821,0,1168,194,1610,12,105,6910,7134,14044,0.0929442,-0.459864,-0.883112
3637,0,1565,240,1782,11,127,7362,9452,16814,0.530333,0.772798,-0.348611
2834,0,877,150,1135,9,76,5081,5321,10402,0.00867569,-0.181941,-0.983271
3284,0,1312,210,1392,11,105,6314,5640,11954,-0.0560125,0.602919,-0.795834
3623,0,1260,246,1680,16,120,6945,7464,14409,0.19902,-0.475645,-0.856827
3979,0,1239,221,1653,14,116,7222,14622,21844,0.343037,0.19523,-0.918809
2532,0,874,173,1157,11,86,4833,9047,13880,0.134603,-0.0341957,-0.990309
1902,0,690,135,1088,12,70,3897,4077,7974,0.197904,0.529649,-0.824807
2004,0,925,255,1122,14,85,4405,4482,8887,0.0808234,-0.757324,-0.648019
6817,0,2362,398,3227,31,262,13097,-1,-1,-1,-1,-1
2359,0,1018,192,988,10,75,4642,-1,-1,-1,-1,-1
6133,0,2125,358,2825,20,206,11667,10798,22465,-0.345737,0.250818,-0.904188
2304,0,829,182,1248,20,88,4671,4890,9561,-0.0213504,0.401047,-0.915809
7169,0,1590,292,2179,15,149,11394,4875,16269,-0.110702,0.925968,-0.361011
2550,0,865,173,1157,12,100,4857,-1,-1,-1,-1,-1
2370,0,816,193,1144,8,85,4616,-1,-1,-1,-1,-1
3522,0,1258,221,1652,12,121,6786,-1,-1,-1,-1,-1
6434,0,2994,495,3745,27,230,13925,-1,-1,-1,-1,-1
2659,0,745,124,1006,8,70,4612,4088,8700,-0.228218,0.357341,-0.905662
1784,0,588,131,839,8,58,3408,2258,5666,-0.117714,0.913066,-0.390454
6442,0,2066,379,2888,29,216,12020,5694,17714,0.238911,-0.377411,-0.894697
2748,0,1064,183,1223,11,91,5320,5580,10900,0.820673,0.315671,-0.476285
4003,0,1250,222,1730,17,128,7350,10469,17819,0.80877,0.183271,-0.558841
3347,0,966,174,1336,14,102,5939,5693,11632,0.625067,0.245421,-0.740986
7027,0,2007,369,2824,24,201,12452,-1,-1,-1,-1,-1
2673,0,858,163,1117,11,79,4901,2721,7622,0.142565,-0.164838,-0.975963
6482,0,1939,326,2707,25,186,11665,3709,15374,0.126835,-0.184904,-0.974537
3288,0,824,166,1123,12,83,5496,937,6433,0.00644238,-0.0404043,-0.999163
1739,0,500,86,722,7,51,3105,534,3639,-0.000379882,-0.0301903,-0.999544
6280,0,1343,234,1711,17,134,9719,1185,10904,0.00516848,-0.0320543,-0.999473
6262,0,1354,253,1627,17,135,9648,1140,10788,0.000909097,-0.0329189,-0.999458
6228,0,1707,300,2155,25,157,10572,2568,13140,0.227412,-0.194848,-0.954106
3248,0,846,149,1085,18,92,5438,1262,6700,0.0219476,-0.0415928,-0.998894
6151,0,1754,311,2289,26,172,10703,3712,14415,0.210428,-0.1567,-0.964969
4234,0,1235,216,1682,17,115,7499,2413,9912,0.3399,-0.157255,-0.927221
5537,0,1564,297,2079,22,157,9656,2787,12443,0.0475935,-0.129199,-0.990476
3873,0,1136,188,1526,13,106,6842,1634,8476,0.0106356,-0.0445259,-0.998952
5999,0,1755,295,2381,24,165,10619,2002,12621,0.0168182,-0.0456253,-0.998817
4358,0,1247,238,1651,16,127,7637,1705,9342,0.00749719,-0.0392867,-0.9992
3244,0,978,188,1230,14,93,5747,1260,7007,0.0153494,-0.0450572,-0.998866
6093,0,1834,318,2297,25,166,10733,2434,13167,0.02997,-0.0398151,-0.998758
5152,0,1257,227,1601,22,118,8377,1648,10025,0.015782,-0.0248337,-0.999567
3220,0,1003,173,1245,13,89,5743,1435,7178,0.0327991,-0.0497283,-0.998224
6274,0,1831,312,2560,35,183,11195,2126,13321,0.0109096,-0.0820805,-0.996566
4237,0,1197,224,1670,21,130,7479,2492,9971,0.00221982,-0.0969404,-0.995288
3885,0,1092,181,1480,18,105,6761,1651,8412,-0.00507617,-0.0728475,-0.99733
6006,0,1640,242,1965,21,138,10012,1898,11910,-0.0187983,-0.00532449,-0.999809
3873,0,1076,187,1438,16,99,6689,1452,8141,-0.0160313,0.0228003,-0.999611
6244,0,1672,281,2385,34,160,10776,1497,12273,-0.0044891,0.00316569,-0.999985
3885,0,1124,193,1444,17,100,6763,1300,8063,-0.000929342,-0.012549,-0.999921
5182,0,1400,239,1869,23,153,8866,1640,10506,0.00693508,-0.0376704,-0.999266
4947,0,1805,282,1948,25,154,9161,1556,10717,-0.00444009,-0.0348131,-0.999384
3902,0,1080,185,1442,20,103,6732,1231,7963,-0.000153026,-0.0389897,-0.99924
6294,0,1796,334,2429,40,178,11071,1846,12917,0.000787401,-0.0286338,-0.99959
6154,0,1793,315,2429,34,181,10906,1389,12295,0.0189147,-0.0219006,-0.999581
5059,0,1506,285,2008,32,161,9051,1811,10862,0.0184027,-0.00331268,-0.999825
6240,0,1823,336,2453,41,176,11069,2305,13374,0.0199697,-0.0381577,-0.999072
4281,0,1196,246,1648,28,123,7522,2229,9751,0.0603597,-0.231903,-0.970865
3904,0,1171,201,1517,25,110,6928,1859,8787,0.00484143,-0.0461283,-0.998924
6341,0,1865,350,2363,35,164,11118,2982,14100,-0.00410153,-0.057645,-0.998329
6230,0,1709,289,2460,31,164,10883,2161,13044,-0.0043308,-0.0515817,-0.998659
3374,0,972,189,1280,14,97,5926,1587,7513,-0.00233763,-0.0408449,-0.999163
4980,0,1441,246,1946,23,132,8768,2635,11403,-0.0108926,-0.0337909,-0.99937
5026,0,1464,248,1931,22,134,8825,2748,11573,-0.00302997,-0.0410275,-0.999153
3047,0,819,143,1163,13,78,5263,2598,7861,0.0606833,-0.259419,-0.963856
6193,0,1773,312,2435,36,193,10942,4389,15331,0.0019053,-0.0343993,-0.999406
3008,0,754,135,1009,12,76,4994,1663,6657,-0.0248109,-0.252497,-0.967279
1944,0,524,85,638,9,46,3246,1224,4470,0.0057999,-0.0394017,-0.999207
1794,0,497,85,675,9,47,3107,1133,4240,0.00789595,-0.0393677,-0.999194
6172,0,1742,309,2682,31,184,11120,3330,14450,0.076322,-0.319993,-0.944341
5797,0,1765,280,1961,17,117,9937,2746,12683,0.00275926,-0.153709,-0.988112
2506,0,701,127,930,12,72,4348,1749,6097,0.0565123,-0.184962,-0.98112
5702,0,1612,287,2107,25,176,9909,3798,13707,-0.0228586,-0.175553,-0.984205
3243,0,863,160,1144,12,89,5511,2210,7721,-0.00879857,-0.206267,-0.978456
4573,0,1248,232,1734,20,128,7935,2994,10929,-0.0255094,-0.264905,-0.963937
4671,0,1284,233,1682,20,129,8019,3681,11700,0.0091378,-0.0642525,-0.997892
3490,0,895,161,1198,13,85,5842,2950,8792,0.00744262,-0.0535182,-0.998539
5679,0,1554,336,2741,32,163,10505,2704,13209,0.00401241,-0.0466077,-0.998905
3052,0,729,139,984,13,71,4988,1776,6764,0.00148774,-0.0321397,-0.999482
3590,0,836,150,1149,14,84,5823,3796,9619,-0.0137483,-0.354574,-0.934927
6008,0,1395,249,2077,24,155,9908,6123,16031,0.06686,-0.366468,-0.928025
2429,0,570,113,824,12,68,4016,-1,-1,-1,-1,-1
5756,0,1079,186,1384,22,105,8532,3270,11802,-0.0374442,-0.388756,-0.920579
3064,0,486,92,626,12,49,4329,8384,12713,0.43842,0.780618,-0.445447
2431,0,503,90,668,10,49,3751,837,4588,0.00152828,-0.058585,-0.998281
5946,0,1309,222,1676,19,114,9286,3708,12994,0.00963026,-0.106185,-0.9943
3826,0,875,155,1072,15,77,6020,2021,8041,0.00319567,-0.0645838,-0.997907
4853,0,893,163,1175,19,88,7191,2258,9449,0.00866353,-0.0760923,-0.997063
5901,0,1034,190,1493,22,108,8748,2766,11514,-0.0140905,-0.0450487,-0.998885
4076,0,663,139,942,16,71,5907,1532,7439,-0.00723332,-0.0572187,-0.998335
3061,0,524,94,663,12,51,4405,1226,5631,0.00632249,-0.0565934,-0.998377
5790,0,1040,184,1310,22,105,8451,2355,10806,0.00744304,-0.0620523,-0.998045
5901,0,1022,219,1342,23,84,8591,1596,10187,0.0192526,-0.0731758,-0.997133
3030,0,510,97,731,12,56,4436,1165,5601,0.0215517,-0.0166468,-0.999629
5808,0,1000,181,1412,27,100,8528,2117,10645,0.00941484,-0.0776693,-0.996935
3424,0,542,124,675,12,61,4838,973,5811,-0.00102698,-0.0574501,-0.998348
1983,0,347,60,418,7,29,2844,770,3614,0.0256254,0.00419366,-0.999663
5785,0,945,198,1327,25,103,8383,2491,10874,0.0335116,-0.0333167,-0.998883
5003,0,878,155,1163,20,86,7305,1427,8732,0.019056,0.00222476,-0.999816
3640,0,625,119,825,13,62,5284,1582,6866,0.02697,-0.0104449,-0.999582
4663,0,824,160,1042,16,81,6786,2357,9143,0.0237952,-0.00387241,-0.999709
5917,0,1033,227,1328,20,101,8626,1873,10499,0.0198196,-0.00224786,-0.999801
4038,0,755,157,929,11,63,5953,1245,7198,0.0168043,-0.00844954,-0.999823
1272,0,293,42,293,5,22,1927,619,2546,0.0211695,0.0235496,-0.999499
1914,0,357,71,495,7,37,2881,1037,3918,0.0218993,0.0125526,-0.999681
6131,0,1030,196,1274,24,110,8765,2797,11562,0.0198444,-0.00698402,-0.999779
3907,0,719,148,975,17,77,5843,1670,7513,0.0319626,0.00744451,-0.999461
3976,0,765,156,956,17,74,5944,1729,7673,0.018575,0.0054397,-0.999813
4098,0,839,156,1082,16,84,6275,2233,8508,0.00523066,-0.00638333,-0.999966
5381,0,1138,211,1447,18,106,8301,2662,10963,0.00395028,-0.037624,-0.999284
3683,0,768,144,982,15,81,5673,1912,7585,0.028196,0.00740369,-0.999575
5996,0,1321,241,1655,26,143,9382,2654,12036,0.00925732,0.00214449,-0.999955
4024,0,832,151,1158,15,84,6264,2262,8526,0.0377543,0.0729521,-0.996621
4055,0,832,173,1083,18,89,6250,1709,7959,0.0116499,-0.0210672,-0.99971
5689,0,1123,255,1580,19,140,8806,1921,10727,0.025548,0.00252217,-0.99967
3077,0,638,131,832,11,67,4756,1390,6146,0.0171321,-0.00728171,-0.999827
5849,0,1195,235,1561,20,139,8999,3160,12159,0.0148645,-0.016776,-0.999749
6597,0,1333,258,1592,30,130,9940,1979,11919,0.0224136,0.0157194,-0.999625
3042,0,635,129,807,11,69,4693,1409,6102,0.0416864,0.0161463,-0.999
4979,0,1082,190,1298,20,116,7685,2330,10015,0.0456726,0.0272752,-0.998584
3412,0,671,125,865,10,72,5155,1476,6631,0.0166771,0.0202641,-0.999656
6087,0,1067,225,1360,18,113,8870,2150,11020,0.028543,-0.0171645,-0.999445
3888,0,747,164,932,12,73,5816,1539,7355,0.0132391,-0.0463926,-0.998836
5183,0,959,173,1250,40,110,7715,1797,9512,0.0160194,-0.0412799,-0.999019
3048,0,499,89,664,10,49,4359,1134,5493,0.0263657,-0.0637869,-0.997615
6453,0,1042,177,1314,19,98,9103,2165,11268,0.021195,-0.0553331,-0.998243
3838,0,686,120,919,13,80,5656,1608,7264,0.0318287,-0.0261638,-0.999151
4537,0,533,107,656,10,50,5893,1327,7220,-0.0026835,-0.0182128,-0.999831
2449,0,382,77,499,8,40,3455,904,4359,0.00367362,-0.0307346,-0.999521
5619,0,806,149,1130,24,92,7820,2354,10174,0.0268932,-0.0333802,-0.999081
4984,0,809,149,1056,18,83,7099,2032,9131,0.0270454,-0.0378448,-0.998918
5261,0,815,158,1116,18,87,7455,2328,9783,0.0290632,-0.0910401,-0.995423
3651,0,663,135,812,18,62,5341,1403,6744,0.020274,-0.0521823,-0.998432
4617,0,878,153,1213,21,82,6964,1778,8742,0.0272616,-0.0546903,-0.998131
4703,0,878,158,1077,17,83,6916,1339,8255,0.0241965,-0.0585973,-0.997988
2709,0,516,91,647,9,49,4021,1046,5067,0.0274522,-0.0391877,-0.998855
5786,0,1052,191,1368,19,108,8524,2376,10900,0.0168101,-0.0534144,-0.998431
5812,0,1113,198,1325,15,74,8537,1426,9963,0.00520916,-0.0459033,-0.998932
3052,0,595,106,802,11,59,4625,1153,5778,0.021316,-0.054299,-0.998297
5144,0,992,194,1231,18,107,7686,1916,9602,0.0264477,-0.0518842,-0.998303
5373,0,993,219,1283,16,109,7993,1339,9332,0.0175468,-0.0566948,-0.998237
3220,0,725,122,780,9,66,4922,972,5894,0.0130892,-0.037917,-0.999195
4226,0,873,154,1199,16,87,6555,1654,8209,0.0146147,-0.0688453,-0.99752
4289,0,930,158,1220,15,100,6712,1587,8299,0.00664832,-0.0958174,-0.995377
4288,0,1100,187,1281,15,93,6964,1856,8820,0.0106485,-0.0606541,-0.998102
4461,0,981,191,1314,16,111,7074,2257,9331,0.0184332,-0.0558665,-0.998268
2606,0,651,123,842,10,66,4298,1056,5354,0.0201881,-0.061505,-0.997903
5967,0,1568,304,2081,18,145,10083,2488,12571,0.0131708,-0.0757482,-0.99704
5962,0,1595,329,2123,22,170,10201,2517,12718,-0.00289148,-0.0807386,-0.996731
3195,0,1199,198,1362,12,79,6045,1220,7265,-0.00415105,-0.125583,-0.992074
1618,0,447,84,633,8,44,2834,682,3516,-0.00924019,-0.0675614,-0.997672
1956,0,546,101,745,10,60,3418,1079,4497,-0.00587126,-0.0681564,-0.997657
5566,0,1559,294,2112,23,162,9716,3106,12822,-0.000900277,-0.0533047,-0.998578
5338,0,1592,277,2212,32,161,9612,2663,12275,-0.00492216,-0.0551149,-0.998468
4873,0,1533,267,2029,20,158,8880,3034,11914,0.04158,-0.106177,-0.993478
3853,0,1087,195,1458,14,153,6760,1600,8360,-0.0222456,-0.0124688,-0.999675
6261,0,1962,365,2435,24,195,11242,3084,14326,-0.000396884,-0.0826923,-0.996575
3137,0,921,171,1044,9,81,5363,1170,6533,-0.000987566,-0.105085,-0.994463
1878,0,521,81,641,7,45,3173,785,3958,-0.0144067,-0.0483625,-0.998726
2177,0,626,105,800,8,58,3774,1051,4825,-0.0166633,-0.0445593,-0.998868
6014,0,1738,336,2306,22,184,10600,2569,13169,-0.0131754,-0.0634087,-0.997901
6176,0,1797,360,2151,17,122,10623,1726,12349,-0.0264966,-0.0674519,-0.997371
3133,0,955,185,1168,12,96,5549,1656,7205,-0.0332363,-0.0515377,-0.998118
4880,0,1419,266,1985,23,141,8714,1853,10567,-0.0542398,-0.0861922,-0.994801
4807,0,1406,236,1798,25,136,8408,3546,11954,-0.0411055,-0.0679669,-0.99684
4606,0,1316,259,1704,24,118,8027,2495,10522,-0.00112195,-0.0631806,-0.998001
7014,0,1654,288,1429,20,109,10514,1788,12302,-0.025778,-0.0503121,-0.998401
2631,0,635,117,834,12,64,4293,1425,5718,-0.0178349,-0.0379326,-0.999121
5984,0,1495,292,1852,23,150,9796,3241,13037,-0.00210335,0.00587557,-0.999981
5877,0,1718,276,1769,28,146,9814,2618,12432,-0.00215124,-0.0349768,-0.999386
2095,0,493,93,609,10,49,3349,1406,4755,-0.00623206,-0.0493895,-0.99876
5874,0,1339,292,1670,27,137,9339,5060,14399,-0.0305542,-0.108735,-0.993601
3032,0,546,95,679,12,56,4420,2245,6665,-0.0203678,-0.148522,-0.988699
1821,0,390,75,484,9,39,2818,1305,4123,0.00369781,-0.0700244,-0.997538
2108,0,449,94,550,9,46,3256,1570,4826,0.00526412,-0.132179,-0.991212
5839,0,1194,209,1425,20,114,8801,3620,12421,-0.0188509,-0.10001,-0.994808
5698,0,1213,218,1379,28,121,8657,2427,11084,-0.0113194,-0.156903,-0.987549
3097,0,586,122,710,30,68,4613,2024,6637,-0.0134992,-0.146183,-0.989165
5428,0,959,190,1180,27,122,7906,2702,10608,-0.0147312,-0.151031,-0.988419
5193,0,983,196,1233,22,105,7732,2863,10595,0.00118717,-0.131518,-0.991313
3671,0,679,128,904,15,76,5473,2470,7943,-0.00875297,-0.186492,-0.982417
4803,0,817,149,1033,24,83,6909,3062,9971,-0.0173807,-0.190775,-0.98148
4779,0,923,147,992,19,94,6954,2400,9354,-0.0227461,-0.189703,-0.981578
4685,0,818,152,1033,16,88,6792,3089,9881,-0.0299247,-0.209085,-0.97744
3468,0,573,105,761,12,66,4985,2091,7076,-0.0243775,-0.136011,-0.990407
3670,0,592,159,733,34,65,5253,2044,7297,-0.0270551,-0.12457,-0.991842
3464,0,587,109,720,13,61,4954,2123,7077,-0.0392093,-0.125349,-0.991338
4639,0,904,158,849,14,69,6633,2541,9174,-0.0370681,-0.17291,-0.98424
5093,0,593,116,733,12,67,6614,1706,8320,-0.0246435,-0.272986,-0.961702
2345,0,361,65,567,11,42,3391,1376,4767,-0.0341604,-0.199012,-0.979402
5457,0,714,135,937,32,77,7352,2489,9841,-0.0257893,-0.222197,-0.974661
2887,0,352,69,482,12,46,3848,1798,5646,-0.0380121,-0.283918,-0.958095
4949,0,535,104,684,16,59,6347,4011,10358,-0.0330072,-0.214438,-0.97618
5060,0,526,100,603,16,56,6361,4027,10388,-0.00187402,-0.203626,-0.979047
4305,0,459,86,557,15,48,5470,3888,9358,-0.0266951,-0.235112,-0.971602
5284,0,536,135,652,19,57,6683,4763,11446,-0.0177924,-0.213007,-0.976889
5308,0,471,119,653,47,65,6663,4371,11034,0.0147717,-0.283316,-0.958913
3239,0,274,53,371,12,29,3978,1494,5472,-0.0150445,-0.263694,-0.964489
1613,0,160,31,200,9,20,2033,910,2943,-0.00130526,-0.219711,-0.975564
1556,0,150,30,173,6,15,1930,692,2622,-0.00140593,-0.230527,-0.973065
5811,0,634,151,773,21,78,7468,2817,10285,-0.0111516,-0.304253,-0.952526
5598,0,720,139,857,22,84,7420,2142,9562,-0.00650281,-0.320763,-0.947137
2896,0,411,73,502,11,40,3933,1422,5355,-0.0231742,-0.288639,-0.957157
5490,0,839,173,997,20,95,7614,2384,9998,-0.0223734,-0.288045,-0.957356
5614,0,867,161,1031,20,95,7788,2032,9820,-0.0265324,-0.225126,-0.973968
3317,0,515,95,621,12,47,4607,1691,6298,-0.0169894,-0.239786,-0.970677
5745,0,1031,189,1182,21,112,8280,2516,10796,-0.00265319,-0.249761,-0.968304
4166,0,713,142,815,17,77,5930,1944,7874,-0.00552715,-0.233578,-0.972322
5857,0,1183,224,1365,26,133,8788,2969,11757,-0.000285564,-0.227154,-0.973859
3999,0,883,169,1089,23,93,6256,1902,8158,-0.00618744,-0.166376,-0.986043
6288,0,1383,227,1587,23,135,9643,3340,12983,-0.0213669,-0.129561,-0.991341
3389,0,756,142,725,13,56,5081,1465,6546,0.00720183,-0.170567,-0.98532
2001,0,443,76,555,8,43,3126,984,4110,0.00181969,-0.1283,-0.991734
3177,0,844,139,1023,12,77,5272,1657,6929,-0.00725096,-0.103029,-0.994652
6320,0,1647,315,2062,25,177,10546,3991,14537,0.0153744,-0.157869,-0.98734
6346,0,1730,351,1926,19,124,10496,2168,12664,0.00210615,-0.124865,-0.992172
6267,0,1807,331,2060,15,129,10609,4954,15563,-0.0630252,0.0566551,-0.996403
2748,0,780,157,1065,9,83,4842,-1,-1,-1,-1,-1
4787,0,1472,288,1904,19,144,8614,5935,14549,-0.0130027,-0.109197,-0.993935
4690,0,1722,250,1896,16,151,8725,8795,17520,0.360679,0.50427,-0.784616
2338,0,733,144,946,9,74,4244,4639,8883,-0.389532,0.0704486,-0.918315
3503,0,987,163,1257,12,100,6022,11167,17189,0.33481,0.419268,-0.84387
3181,0,914,154,1231,12,87,5579,6360,11939,-0.214138,-0.318287,-0.923492
4649,0,1417,228,1788,16,127,8225,-1,-1,-1,-1,-1
2788,0,794,144,981,11,76,4794,-1,-1,-1,-1,-1
3144,0,842,152,1076,12,93,5319,5362,10681,0.321987,0.379898,-0.86718
6254,0,1675,317,2177,30,169,10622,3277,13899,-0.179601,-0.210721,-0.960906
3280,0,845,154,1082,13,88,5462,6316,11778,0.31929,0.715332,-0.621574
7106,0,1511,281,1940,29,151,11018,2309,13327,-0.00566122,-0.115216,-0.993324
3284,0,777,146,1011,11,81,5310,2419,7729,-0.104918,-0.349284,-0.931124
5105,0,1129,224,1450,22,117,8047,8781,16828,-0.103188,-0.385349,-0.916983
2833,0,577,101,732,12,56,4311,2590,6901,-0.0420922,-0.394439,-0.917958
5945,0,1091,196,1425,25,111,8793,6412,15205,0.0307227,-0.104933,-0.994005
4093,0,702,124,844,15,67,5845,2189,8034,0.0390598,-0.0621272,-0.997304
3804,0,579,115,727,13,67,5305,1967,7272,0.0408644,-0.0390598,-0.998401
3773,0,543,98,618,14,52,5098,1991,7089,0.0482093,-0.00632737,-0.998817
5783,0,788,147,1003,25,80,7826,4126,11952,0.055165,0.00137244,-0.998476
4172,0,516,101,688,15,64,5556,1902,7458,0.0928367,0.0150679,-0.995567
3017,0,460,83,532,10,48,4150,1928,6078,0.0643605,0.00940581,-0.997882
5714,0,863,169,1048,32,101,7927,3274,11201,0.0871608,0.0349142,-0.995582
8951,0,1214,234,983,17,74,11473,2760,14233,0.0852324,0.0472406,-0.995241
2664,0,544,99,661,11,49,4028,1134,5162,0.103771,0.061219,-0.992715
6136,0,930,218,1267,27,107,8685,3013,11698,0.0919746,0.0395394,-0.994976
5785,0,875,166,1159,26,104,8115,2301,10416,9.04291e-05,-0.0614032,-0.998113
3034,0,725,129,814,15,59,4776,2182,6958,0.0810824,0.0243426,-0.99641
5889,0,1083,221,1347,22,111,8673,4654,13327,-0.0100404,-0.0519514,-0.998599
4111,0,861,176,1012,16,79,6255,2575,8830,0.0931092,0.00265683,-0.995652
3781,0,783,135,1037,15,77,5828,2053,7881,0.109682,0.0565243,-0.992358
6468,0,1202,215,1545,20,139,9589,4309,13898,0.0519121,-0.0205084,-0.998441
3177,0,565,87,623,9,49,4510,1719,6229,0.0279011,-0.0568594,-0.997992
