Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
6878,0,0,0,0,7119,187,14184,939,15123,0.0139578,-0.0500593,-0.998649
2922,0,0,0,0,3709,96,6727,747,7474,0.0299294,-0.0842497,-0.995995
2724,0,0,0,0,3705,96,6525,903,7428,0.00450454,-0.0444973,-0.998999
6325,0,0,0,0,8281,210,14816,1883,16699,-0.038866,-0.0457773,-0.998195
4952,0,0,0,0,6107,169,11228,937,12165,-0.0463877,-0.046896,-0.997822
2371,0,0,0,0,3043,88,5502,714,6216,-0.0486833,-0.0416749,-0.997944
3537,0,0,0,0,3411,99,7047,793,7840,-0.073345,-0.0258095,-0.996973
3313,0,0,0,0,4145,91,7549,831,8380,-0.0377862,-0.0171741,-0.999138
2656,0,0,0,0,3597,87,6340,448,6788,-0.0503457,0.00103616,-0.998731
2338,0,0,0,0,3115,204,5657,597,6254,-0.00748531,-0.0249068,-0.999662
2497,0,0,0,0,3615,119,6231,902,7133,-0.0129097,-0.0349032,-0.999307
2442,0,0,0,0,3202,84,5728,1168,6896,0.0126152,-0.077496,-0.996913
2653,0,0,0,0,3299,87,6039,602,6641,0.00429754,-0.10074,-0.994904
2238,0,0,0,0,3047,79,5364,589,5953,0.00339986,-0.0373391,-0.999297
6850,0,0,0,0,8378,153,15381,1175,16556,-0.0019734,-0.0733543,-0.997304
6829,0,0,0,0,8499,158,15486,1559,17045,-0.000235505,-0.0419745,-0.999119
6707,0,0,0,0,6751,164,13622,1088,14710,0.0151686,-0.0146277,-0.999778
2788,0,0,0,0,3779,105,6672,1331,8003,0.0190201,0.0626408,-0.997855
5066,0,0,0,0,6820,176,12062,1376,13438,-0.00662569,0.0155975,-0.999856
9364,0,0,0,0,8263,160,17787,1206,18993,-0.0269431,0.0199844,-0.999437
2475,0,0,0,0,3460,96,6031,785,6816,-0.0691515,0.0207017,-0.997391
2263,0,0,0,0,2880,63,5206,523,5729,-0.065676,0.0116467,-0.997773
2326,0,0,0,0,3105,77,5508,589,6097,-0.0569394,0.0039772,-0.99837
2234,0,0,0,0,2921,61,5216,453,5669,-0.0703293,-0.0182778,-0.997356
2248,0,0,0,0,3035,65,5348,511,5859,-0.0861295,-0.0138402,-0.996188
2211,0,0,0,0,2864,79,5154,649,5803,-0.0856262,0.0109613,-0.996267
2282,0,0,0,0,3056,63,5401,698,6099,-0.056576,0.0232194,-0.998128
2206,0,0,0,0,2956,59,5221,568,5789,-0.0173996,-0.0467808,-0.998754
2224,0,0,0,0,2900,80,5204,555,5759,-0.0186615,-0.0288672,-0.999409
2408,0,0,0,0,3018,67,5493,763,6256,-0.0485214,-0.0153238,-0.998705
2215,0,0,0,0,2914,87,5216,668,5884,-0.0218583,-0.0404381,-0.998943
2054,0,0,0,0,2114,58,4226,444,4670,-0.0367272,-0.0629209,-0.997343
1552,0,0,0,0,2050,54,3656,287,3943,-0.0285716,-0.0615651,-0.997694
1509,0,0,0,0,2007,52,3568,539,4107,-0.0741259,-0.0941508,-0.992795
1569,0,0,0,0,2062,54,3685,363,4048,-0.00835976,-0.0369227,-0.999283
1496,0,0,0,0,2056,57,3609,497,4106,-0.00951527,-0.0476602,-0.998818
1407,0,0,0,0,2075,50,3532,467,3999,-0.00252296,-0.0314452,-0.999502
2169,0,0,0,0,2771,62,5002,767,5769,-0.0214336,-0.0153831,-0.999652
2212,0,0,0,0,2790,60,5062,541,5603,-0.0725406,0.0331955,-0.996813
1507,0,0,0,0,2041,73,3621,380,4001,-0.0851287,-0.0158527,-0.996244
1611,0,0,0,0,1986,77,3674,254,3928,-0.0747581,0.0115917,-0.997134
1595,0,0,0,0,1943,77,3615,413,4028,-0.0567709,-0.000532863,-0.998387
2094,0,0,0,0,2756,61,4911,420,5331,-0.0478944,0.0403671,-0.998036
2108,0,0,0,0,2966,114,5188,449,5637,-0.0654233,-0.00722036,-0.997831
2102,0,0,0,0,2790,97,4989,647,5636,-0.0347624,-0.015751,-0.999271
2141,0,0,0,0,2810,61,5012,613,5625,-0.0351813,-0.0164913,-0.999245
2338,0,0,0,0,2948,71,5357,531,5888,-0.0386405,-0.00570194,-0.999237
1808,0,0,0,0,2348,76,4232,300,4532,-0.0399288,0.00255417,-0.999199
1825,0,0,0,0,2425,63,4313,451,4764,-0.034215,-0.00730014,-0.999388
2357,0,0,0,0,3114,86,5557,599,6156,-0.0767184,-0.018551,-0.99688
4743,0,0,0,0,6409,184,11336,1082,12418,-0.0444573,0.030157,-0.998556
4911,0,0,0,0,6454,165,11530,1187,12717,-0.0610195,-0.00837919,-0.998101
3435,0,0,0,0,4970,149,8554,800,9354,-0.0426486,0.0290146,-0.998669
3628,0,0,0,0,4820,152,8600,1120,9720,-0.045938,0.0346163,-0.998344
9217,0,0,0,0,8780,173,18170,1131,19301,-0.0756014,-0.0194411,-0.996949
2765,0,0,0,0,3926,119,6810,947,7757,-0.00932535,-0.0328875,-0.999416
2778,0,0,0,0,3733,117,6628,822,7450,-0.00556794,-0.0460593,-0.998923
6814,0,0,0,0,9033,248,16095,1819,17914,-0.0323038,-0.061611,-0.997577
3417,0,0,0,0,5066,136,8619,880,9499,-0.0421037,-0.0763551,-0.996191
3502,0,0,0,0,4936,155,8593,1153,9746,-0.077783,-0.097814,-0.99216
7036,0,0,0,0,8739,237,16012,1293,17305,0.00260043,-0.0388872,-0.99924
4315,0,0,0,0,6385,157,10857,1529,12386,0.0056528,-0.00960857,-0.999938
1994,0,0,0,0,2605,76,4675,637,5312,-0.0156527,0.00252052,-0.999874
2495,0,0,0,0,3302,78,5875,481,6356,-0.0428197,0.0158694,-0.998957
1835,0,0,0,0,2342,66,4243,415,4658,-0.0763408,0.0261527,-0.996739
1992,0,0,0,0,2446,79,4517,481,4998,-0.0514972,0.00273546,-0.998669
3712,0,0,0,0,4683,111,8506,647,9153,-0.0475879,-0.00707864,-0.998842
3660,0,0,0,0,4286,130,8076,724,8800,-0.0469635,-0.00920193,-0.998854
4399,0,0,0,0,3447,91,7937,653,8590,-0.0537618,-0.00936179,-0.99851
2210,0,0,0,0,2803,79,5092,526,5618,-0.0403157,-0.0059595,-0.999169
2216,0,0,0,0,2857,84,5157,641,5798,-0.0543678,0.044541,-0.997527
3392,0,0,0,0,4538,122,8052,1032,9084,-0.00688249,0.0754042,-0.997129
4732,0,0,0,0,5172,135,10039,982,11021,-0.00378457,0.0738851,-0.99726
4314,0,0,0,0,5404,134,9852,1228,11080,-0.0161804,0.103979,-0.994448
4408,0,0,0,0,4946,130,9484,1087,10571,-0.0155173,0.0924218,-0.995599
7180,0,0,0,0,7702,162,15044,1587,16631,-0.0436056,0.0497719,-0.997808
2911,0,0,0,0,3182,88,6181,624,6805,-0.0245357,0.0571908,-0.998062
2584,0,0,0,0,2805,72,5461,943,6404,-0.00948478,-0.0176303,-0.9998
1959,0,0,0,0,2073,52,4084,449,4533,-0.0250377,0.0199625,-0.999487
1788,0,0,0,0,1907,51,3746,572,4318,-0.0376211,0.0361824,-0.998637
2892,0,0,0,0,2967,79,5938,707,6645,-0.0409999,0.0285773,-0.99875
6068,0,0,0,0,6006,184,12258,1607,13865,-0.0735979,0.0690381,-0.994896
6193,0,0,0,0,6534,170,12897,1266,14163,-0.082285,0.0834321,-0.99311
4084,0,0,0,0,3564,114,7762,1122,8884,-0.0850397,0.0747915,-0.993567
3156,0,0,0,0,4154,125,7435,871,8306,-0.0031426,-0.0195369,-0.999804
2568,0,0,0,0,3188,80,5836,1096,6932,-0.00371221,-0.0621521,-0.99806
5059,0,0,0,0,5466,168,10693,1312,12005,-0.0102873,-0.0846943,-0.996354
5180,0,0,0,0,5230,172,10582,854,11436,0.00355654,-0.0403838,-0.999178
2744,0,0,0,0,3358,123,6225,1205,7430,0.0198931,-0.0278787,-0.999413
3324,0,0,0,0,4356,107,7787,1707,9494,0.0348702,-0.00651135,-0.999371
3186,0,0,0,0,4279,115,7580,1398,8978,0.0403517,0.0342063,-0.9986
3594,0,0,0,0,3816,105,7515,1200,8715,0.0612905,0.0324087,-0.997594
2061,0,0,0,0,1930,55,4046,586,4632,0.0897717,0.0113471,-0.995898
