Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
7765,0,0,0,0,8531,190,16486,2091,18577,0.0140291,-0.0500655,-0.998647
4500,0,0,0,0,4457,118,9075,1806,10881,0.0299216,-0.0842919,-0.995992
2475,0,0,0,0,3431,88,5994,1406,7400,0.00450454,-0.0444973,-0.998999
2718,0,0,0,0,3411,96,6225,1480,7705,-0.0389256,-0.0457475,-0.998194
2697,0,0,0,0,3543,94,6334,1314,7648,-0.046374,-0.046827,-0.997826
3535,0,0,0,0,4347,104,7986,1951,9937,-0.0487464,-0.0416479,-0.997943
2496,0,0,0,0,3926,108,6530,1590,8120,-0.073345,-0.0258095,-0.996973
2720,0,0,0,0,3416,113,6249,1481,7730,-0.0377862,-0.0171741,-0.999138
2667,0,0,0,0,3175,101,5943,1225,7168,-0.0504048,0.00103626,-0.998728
3596,0,0,0,0,4397,97,8090,1712,9802,-0.00752226,-0.024907,-0.999661
3874,0,0,0,0,2888,78,6840,1216,8056,-0.0129097,-0.0349032,-0.999307
2632,0,0,0,0,2817,87,5536,1386,6922,0.0125655,-0.0774389,-0.996918
2497,0,0,0,0,3215,86,5798,1352,7150,0.00429754,-0.10074,-0.994904
3515,0,0,0,0,4199,122,7836,1761,9597,0.00339986,-0.0373391,-0.999297
3322,0,0,0,0,4255,110,7687,2055,9742,-0.00202813,-0.0733458,-0.997305
6933,0,0,0,0,7917,170,15020,2018,17038,-0.000235505,-0.0419745,-0.999119
7166,0,0,0,0,10768,200,18134,3052,21186,0.0152482,-0.0146361,-0.999777
1753,0,0,0,0,2249,57,4059,1209,5268,0.0190201,0.0626408,-0.997855
1732,0,0,0,0,2294,104,4130,934,5064,-0.00652588,0.0155695,-0.999857
1955,0,0,0,0,2367,75,4397,964,5361,-0.0269634,0.0199145,-0.999438
2244,0,0,0,0,2245,63,4552,1067,5619,-0.0691515,0.0207017,-0.997391
1930,0,0,0,0,2374,74,4378,889,5267,-0.065676,0.0116467,-0.997773
2099,0,0,0,0,2257,83,4439,884,5323,-0.0569394,0.0039772,-0.99837
1750,0,0,0,0,2429,65,4244,768,5012,-0.0703293,-0.0182778,-0.997356
1514,0,0,0,0,2242,69,3825,855,4680,-0.0860484,-0.0138965,-0.996194
1989,0,0,0,0,2633,70,4692,912,5604,-0.0856262,0.0109613,-0.996267
1684,0,0,0,0,2444,75,4203,1023,5226,-0.0564991,0.0231649,-0.998134
2654,0,0,0,0,2236,69,4959,935,5894,-0.0173996,-0.0467808,-0.998754
1786,0,0,0,0,2178,119,4083,888,4971,-0.0185585,-0.0288662,-0.999411
2244,0,0,0,0,2130,54,4428,1033,5461,-0.0485214,-0.0153238,-0.998705
2254,0,0,0,0,2171,72,4497,928,5425,-0.0218583,-0.0404381,-0.998943
1571,0,0,0,0,2078,60,3709,907,4616,-0.0367272,-0.0629209,-0.997343
1694,0,0,0,0,2434,112,4240,785,5025,-0.0285716,-0.0615651,-0.997694
2427,0,0,0,0,2257,68,4752,1116,5868,-0.0741635,-0.0942048,-0.992787
1520,0,0,0,0,2474,83,4077,1028,5105,-0.00835976,-0.0369227,-0.999283
1807,0,0,0,0,2250,70,4127,1096,5223,-0.00951527,-0.0476602,-0.998818
1554,0,0,0,0,2073,55,3682,976,4658,-0.00258871,-0.0314272,-0.999503
1557,0,0,0,0,1998,87,3642,992,4634,-0.0214336,-0.0153831,-0.999652
1463,0,0,0,0,1982,115,3560,1315,4875,-0.0725406,0.0331955,-0.996813
1577,0,0,0,0,1958,50,3585,814,4399,-0.0851287,-0.0158527,-0.996244
1574,0,0,0,0,2013,57,3644,853,4497,-0.0747581,0.0115917,-0.997134
1596,0,0,0,0,1977,74,3647,1013,4660,-0.0567709,-0.000532863,-0.998387
1534,0,0,0,0,2106,58,3698,728,4426,-0.0478944,0.0403671,-0.998036
1450,0,0,0,0,2462,110,4022,863,4885,-0.0654233,-0.00722036,-0.997831
1550,0,0,0,0,2037,57,3644,1020,4664,-0.0347624,-0.015751,-0.999271
1675,0,0,0,0,2240,62,3977,918,4895,-0.0351813,-0.0164913,-0.999245
5162,0,0,0,0,6876,200,12238,2744,14982,-0.0386888,-0.00563322,-0.999235
6808,0,0,0,0,7292,185,14285,1738,16023,-0.03996,0.00251347,-0.999198
2365,0,0,0,0,3122,84,5571,1345,6916,-0.0342412,-0.00732766,-0.999387
6559,0,0,0,0,8808,199,15566,2049,17615,-0.0767456,-0.01847,-0.99688
4274,0,0,0,0,4735,148,9157,1935,11092,-0.0444573,0.030157,-0.998556
3627,0,0,0,0,4510,118,8255,2041,10296,-0.0610195,-0.00837919,-0.998101
5086,0,0,0,0,5626,158,10870,2271,13141,-0.0426811,0.0289921,-0.998668
4107,0,0,0,0,6492,178,10777,2142,12919,-0.0459326,0.0345749,-0.998346
2904,0,0,0,0,4099,116,7119,1870,8989,-0.0756983,-0.0194604,-0.996941
3735,0,0,0,0,4336,108,8179,1571,9750,-0.00932535,-0.0328875,-0.999416
2213,0,0,0,0,2553,76,4842,1028,5870,-0.00556794,-0.0460593,-0.998923
3122,0,0,0,0,4378,98,7598,1508,9106,-0.0323056,-0.0616112,-0.997577
3803,0,0,0,0,4653,136,8592,2143,10735,-0.0421226,-0.0762876,-0.996196
6812,0,0,0,0,8972,291,16075,3753,19828,-0.0776676,-0.0979417,-0.992157
8851,0,0,0,0,9173,197,18221,2073,20294,0.00261657,-0.0389175,-0.999239
2979,0,0,0,0,3004,76,6059,1316,7375,0.00566468,-0.00966706,-0.999937
2368,0,0,0,0,3016,89,5473,1378,6851,-0.0156527,0.00252052,-0.999874
3086,0,0,0,0,3658,97,6841,1575,8416,-0.0428632,0.01587,-0.998955
3076,0,0,0,0,3819,104,6999,1474,8473,-0.0763408,0.0261527,-0.996739
3539,0,0,0,0,4068,106,7713,2388,10101,-0.0514972,0.00273546,-0.998669
7550,0,0,0,0,10599,161,18310,2485,20795,-0.0475127,-0.00713099,-0.998845
2883,0,0,0,0,3087,81,6051,1261,7312,-0.0469635,-0.00920193,-0.998854
2009,0,0,0,0,2234,62,4305,971,5276,-0.0536953,-0.00935299,-0.998514
6582,0,0,0,0,5409,124,12115,1554,13669,-0.0402932,-0.00599019,-0.99917
2669,0,0,0,0,2968,79,5716,1254,6970,-0.0544757,0.0445802,-0.997519
3399,0,0,0,0,4033,111,7543,2007,9550,-0.00688249,0.0754042,-0.997129
6500,0,0,0,0,7960,219,14679,2162,16841,-0.00376876,0.0738428,-0.997263
6476,0,0,0,0,5229,105,11810,2049,13859,-0.0162207,0.103996,-0.994445
2260,0,0,0,0,2688,75,5023,1331,6354,-0.0154242,0.0924363,-0.995599
6585,0,0,0,0,7517,217,14319,2517,16836,-0.0435467,0.0497553,-0.997812
