Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
8371,0,0,0,0,6236,135,14742,1529,16271,0.0139578,-0.0500593,-0.998649
2482,0,0,0,0,3164,84,5730,1038,6768,0.0299294,-0.0842497,-0.995995
2654,0,0,0,0,3877,96,6627,1372,7999,0.00450454,-0.0444973,-0.998999
2587,0,0,0,0,3604,103,6294,1454,7748,-0.0389256,-0.0457475,-0.998194
2609,0,0,0,0,3523,109,6241,1643,7884,-0.046374,-0.046827,-0.997826
2480,0,0,0,0,3245,87,5812,1209,7021,-0.0486833,-0.0416749,-0.997944
2490,0,0,0,0,3287,99,5876,1028,6904,-0.073345,-0.0258095,-0.996973
2512,0,0,0,0,3210,82,5804,1087,6891,-0.0377862,-0.0171741,-0.999138
2399,0,0,0,0,3243,95,5737,924,6661,-0.0503457,0.00103616,-0.998731
3768,0,0,0,0,5184,141,9093,1670,10763,-0.00752226,-0.024907,-0.999661
3859,0,0,0,0,5164,136,9159,1787,10946,-0.0128923,-0.0349339,-0.999306
3669,0,0,0,0,4896,151,8716,2060,10776,0.0125655,-0.0774389,-0.996918
7566,0,0,0,0,8932,161,16659,1922,18581,0.00431577,-0.100764,-0.994901
2834,0,0,0,0,3872,96,6802,1289,8091,0.00339986,-0.0373391,-0.999297
2448,0,0,0,0,3320,80,5848,1118,6966,-0.00198518,-0.0733448,-0.997305
2397,0,0,0,0,3231,87,5715,1218,6933,-0.000214748,-0.041946,-0.99912
1482,0,0,0,0,2041,78,3601,767,4368,0.0152021,-0.0146567,-0.999777
1416,0,0,0,0,1976,55,3447,941,4388,0.0190201,0.0626408,-0.997855
1637,0,0,0,0,2014,78,3729,734,4463,-0.00652588,0.0155695,-0.999857
1667,0,0,0,0,2110,93,3870,713,4583,-0.0269634,0.0199145,-0.999438
1417,0,0,0,0,1937,78,3432,715,4147,-0.0691515,0.0207017,-0.997391
1490,0,0,0,0,2030,79,3599,573,4172,-0.065676,0.0116467,-0.997773
1571,0,0,0,0,1990,94,3655,645,4300,-0.0569394,0.0039772,-0.99837
1417,0,0,0,0,2098,72,3587,542,4129,-0.0703293,-0.0182778,-0.997356
1610,0,0,0,0,2047,83,3740,657,4397,-0.0860484,-0.0138965,-0.996194
1428,0,0,0,0,2042,90,3560,777,4337,-0.0856262,0.0109613,-0.996267
1591,0,0,0,0,1984,76,3651,734,4385,-0.0564991,0.0231649,-0.998134
1567,0,0,0,0,2025,75,3667,703,4370,-0.0173996,-0.0467808,-0.998754
1614,0,0,0,0,2064,79,3757,783,4540,-0.0186615,-0.0288672,-0.999409
1905,0,0,0,0,2105,73,4083,876,4959,-0.0485214,-0.0153238,-0.998705
1677,0,0,0,0,2266,82,4025,713,4738,-0.0218583,-0.0404381,-0.998943
1453,0,0,0,0,2315,89,3857,761,4618,-0.0367272,-0.0629209,-0.997343
1511,0,0,0,0,2117,79,3707,552,4259,-0.0285716,-0.0615651,-0.997694
1538,0,0,0,0,1987,58,3583,902,4485,-0.0741635,-0.0942048,-0.992787
1435,0,0,0,0,2022,72,3529,618,4147,-0.00835976,-0.0369227,-0.999283
1774,0,0,0,0,2019,85,3878,773,4651,-0.00951527,-0.0476602,-0.998818
1412,0,0,0,0,2044,74,3530,753,4283,-0.00258871,-0.0314272,-0.999503
1612,0,0,0,0,2001,72,3685,812,4497,-0.0214336,-0.0153831,-0.999652
1695,0,0,0,0,1982,76,3753,1070,4823,-0.0725287,0.0331535,-0.996815
1577,0,0,0,0,2062,85,3724,673,4397,-0.0851287,-0.0158527,-0.996244
1598,0,0,0,0,2104,81,3783,654,4437,-0.0747581,0.0115917,-0.997134
1469,0,0,0,0,1938,48,3455,685,4140,-0.0567709,-0.000532863,-0.998387
6125,0,0,0,0,8568,228,14921,2226,17147,-0.0478803,0.0403295,-0.998039
4288,0,0,0,0,5858,152,10298,1702,12000,-0.065509,-0.00719188,-0.997826
4127,0,0,0,0,5707,153,9987,2169,12156,-0.03474,-0.0157497,-0.999272
4204,0,0,0,0,5722,153,10079,1873,11952,-0.0352854,-0.0164366,-0.999242
6938,0,0,0,0,7482,162,14582,1529,16111,-0.0386888,-0.00563322,-0.999235
2780,0,0,0,0,3685,100,6565,1205,7770,-0.0400027,0.00256029,-0.999196
7258,0,0,0,0,9171,256,16685,2120,18805,-0.0341682,-0.00733548,-0.999389
6709,0,0,0,0,7628,170,14507,1565,16072,-0.0767456,-0.01847,-0.99688
2769,0,0,0,0,3721,96,6586,1273,7859,-0.0444119,0.0301719,-0.998558
6721,0,0,0,0,9225,167,16113,2346,18459,-0.0609737,-0.00843643,-0.998104
2843,0,0,0,0,3528,86,6457,780,7237,-0.0426486,0.0290146,-0.998669
1966,0,0,0,0,2559,67,4592,873,5465,-0.0458891,0.0345501,-0.998349
2434,0,0,0,0,3215,88,5737,1298,7035,-0.0756983,-0.0194604,-0.996941
2754,0,0,0,0,3726,96,6576,1530,8106,-0.00932535,-0.0328875,-0.999416
3268,0,0,0,0,4272,110,7650,1815,9465,-0.00562357,-0.0460743,-0.998922
3371,0,0,0,0,4431,118,7920,1951,9871,-0.0323038,-0.061611,-0.997577
3240,0,0,0,0,4407,137,7784,1695,9479,-0.0421226,-0.0762876,-0.996196
3205,0,0,0,0,4339,119,7663,1938,9601,-0.077783,-0.097814,-0.99216
3307,0,0,0,0,4300,121,7728,1526,9254,0.00259273,-0.0388968,-0.99924
4903,0,0,0,0,6994,199,12096,2226,14322,0.0056528,-0.00960857,-0.999938
3645,0,0,0,0,4801,138,8584,1985,10569,-0.0156527,0.00252052,-0.999874
4445,0,0,0,0,6492,172,11109,2030,13139,-0.0428632,0.01587,-0.998955
