Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
4946,0,674,124,841,38,91,6714,17352,24066,0.0184529,-0.211426,-0.97722
1629,0,253,57,292,10,26,2267,3060,5327,0.0292973,-0.209484,-0.977373
1445,0,261,51,308,11,30,2106,3596,5702,-0.00937711,-0.227718,-0.973682
2634,0,523,96,681,15,61,4010,6232,10242,0.0061366,-0.29918,-0.954177
6447,0,1873,349,2019,52,147,10887,13984,24871,-0.00341225,-0.262104,-0.965034
1832,0,452,77,571,10,43,2985,8988,11973,0.00942791,-0.149262,-0.988753
1800,0,476,82,602,11,45,3016,-1,-1,-1,-1,-1
2281,0,629,106,818,13,61,3908,-1,-1,-1,-1,-1
6540,0,1918,387,3267,55,217,12384,-1,-1,-1,-1,-1
2533,0,736,111,692,18,52,4142,-1,-1,-1,-1,-1
1718,0,450,90,535,14,44,2851,-1,-1,-1,-1,-1
3496,0,816,145,1056,22,101,5636,-1,-1,-1,-1,-1
6814,0,1332,225,1553,41,129,10094,-1,-1,-1,-1,-1
2063,0,343,64,475,11,42,2998,10359,13357,0.146222,-0.562712,-0.813618
1447,0,278,47,318,10,29,2129,5065,7194,-0.0810404,-0.461419,-0.883473
6558,0,905,167,1135,43,100,8908,13593,22501,0.181731,-0.539907,-0.821873
2026,0,249,52,289,27,25,2668,10373,13041,0.0717376,-0.532194,-0.843577
6500,0,605,115,741,37,64,8062,14515,22577,-0.166932,-0.553958,-0.815638
1649,0,175,33,203,13,18,2091,7346,9437,0.0679124,-0.0767723,-0.994733
1837,0,181,35,221,13,19,2306,10009,12315,-0.270676,-0.490899,-0.828102
4052,0,384,76,451,30,43,5036,22962,27998,-0.156261,-0.719832,-0.676331
2501,0,199,45,229,20,24,3018,-1,-1,-1,-1,-1
5674,0,300,81,369,29,42,6495,19989,26484,0.0610447,-0.0697111,-0.995698
2379,0,198,43,219,15,28,2882,8430,11312,0.0516962,-0.126635,-0.990601
2458,0,218,43,224,15,27,2985,10719,13704,-0.090316,-0.871656,-0.481724
1751,0,129,28,159,14,23,2104,7523,9627,-0.227051,-0.871822,-0.434021
1569,0,137,28,152,12,15,1913,-1,-1,-1,-1,-1
1863,0,194,40,217,12,25,2351,13939,16290,0.132679,-0.817949,-0.559781
2146,0,308,77,300,12,30,2873,-1,-1,-1,-1,-1
2148,0,202,50,223,12,21,2656,-1,-1,-1,-1,-1
6263,0,708,138,843,35,85,8072,-1,-1,-1,-1,-1
1470,0,156,32,187,11,17,1873,-1,-1,-1,-1,-1
1257,0,131,26,158,8,14,1594,4546,6140,0.0326469,-0.0923168,-0.995194
1287,0,149,30,176,9,16,1667,7701,9368,0.143556,-0.892532,-0.427527
2045,0,219,42,258,11,23,2598,-1,-1,-1,-1,-1
1441,0,167,32,202,9,18,1869,5890,7759,0.00806048,-0.101416,-0.994811
6704,0,674,141,814,56,108,8497,25628,34125,0.00412249,-0.171459,-0.985183
1540,0,175,32,216,9,24,1996,5303,7299,-0.0109023,-0.14044,-0.990029
1186,0,140,30,158,9,15,1538,-1,-1,-1,-1,-1
1155,0,172,27,198,10,14,1576,-1,-1,-1,-1,-1
6098,0,756,163,1026,63,98,8204,-1,-1,-1,-1,-1
2947,0,376,79,491,23,46,3962,-1,-1,-1,-1,-1
5568,0,765,143,828,44,85,7433,-1,-1,-1,-1,-1
2236,0,325,69,367,19,34,3050,-1,-1,-1,-1,-1
5495,0,725,143,881,68,87,7399,-1,-1,-1,-1,-1
2278,0,300,57,348,17,31,3031,-1,-1,-1,-1,-1
