Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
7393,0,2661,471,3227,70,214,14036,22035,36071,0.39027,0.823011,-0.412725
2853,0,1013,159,1210,10,70,5315,3340,8655,0.19095,-0.334276,-0.922929
3316,0,1116,165,1369,11,82,6059,6567,12626,0.276614,0.822162,-0.497528
3306,0,1130,177,1451,14,91,6169,3931,10100,0.211903,-0.324304,-0.921913
3446,0,1220,176,1447,26,89,6404,5684,12088,0.457009,0.610796,-0.646584
3431,0,1200,207,1676,18,119,6651,5986,12637,0.0523579,-0.255413,-0.965413
2818,0,964,189,1303,15,94,5383,9529,14912,0.292141,0.559903,-0.775346
2890,0,956,162,1334,13,92,5447,10108,15555,0.215231,-0.324067,-0.921225
2316,0,806,142,1116,12,79,4471,6785,11256,0.289777,0.688764,-0.664555
6639,0,2426,443,3145,37,231,12921,10502,23423,0.109106,-0.249943,-0.962094
2355,0,816,143,1168,13,83,4578,4753,9331,0.302854,0.812989,-0.497322
2255,0,748,131,1024,13,76,4247,3317,7564,0.106268,-0.221834,-0.969277
3561,0,1225,198,1679,13,97,6773,8013,14786,0.384517,0.759828,-0.524222
1750,0,546,160,841,8,66,3371,2014,5385,0.143374,-0.320078,-0.93648
1537,0,515,137,879,8,71,3147,9020,12167,0.37114,0.84307,-0.389215
1566,0,575,133,888,11,75,3248,1772,5020,0.0622961,-0.348304,-0.935309
1487,0,541,128,742,7,70,2975,5629,8604,0.199381,0.781524,-0.591158
1773,0,658,157,877,7,91,3563,2835,6398,0.128374,-0.305629,-0.943457
1486,0,564,145,751,9,85,3040,4958,7998,0.141698,0.549875,-0.82314
1610,0,595,128,761,23,58,3175,2778,5953,0.172075,-0.330243,-0.928079
1928,0,555,95,732,8,71,3389,5904,9293,0.437189,0.727789,-0.528383
1447,0,549,143,723,9,53,2924,2117,5041,0.091751,-0.220428,-0.971078
1834,0,540,138,865,29,68,3474,4484,7958,0.284107,0.812451,-0.509122
1431,0,705,179,917,10,77,3319,2811,6130,0.151065,-0.304709,-0.940389
1686,0,589,139,753,7,87,3261,2839,6100,0.375717,0.669378,-0.640914
1534,0,645,128,780,9,69,3165,3556,6721,0.0128335,-0.320415,-0.94719
1421,0,547,126,721,7,66,2888,4122,7010,0.315013,0.87117,-0.376603
1555,0,596,146,817,9,95,3218,2611,5829,0.149503,-0.357067,-0.922037
2033,0,546,138,739,6,73,3535,4851,8386,0.319986,0.66914,-0.670716
1580,0,531,142,709,10,69,3041,1996,5037,0.101719,-0.348557,-0.931752
1558,0,529,121,706,7,67,2988,5559,8547,0.352018,0.741347,-0.571391
1661,0,564,99,769,9,51,3153,2477,5630,0.0769157,-0.327355,-0.941766
1494,0,503,86,807,25,71,2986,-1,-1,-1,-1,-1
1438,0,510,137,997,7,117,3206,3906,7112,0.350025,0.850594,-0.392394
1561,0,552,125,761,9,71,3079,2262,5341,0.137327,-0.324757,-0.935775
1458,0,571,177,853,21,65,3145,4795,7940,0.345486,0.803042,-0.485554
1413,0,546,126,727,7,76,2895,2482,5377,0.0969544,-0.333544,-0.937736
1640,0,710,168,767,10,72,3367,3806,7173,0.269322,0.800431,-0.535515
1805,0,869,151,1071,33,62,3991,3880,7871,0.0779668,-0.3183,-0.944779
1613,0,595,98,742,9,53,3110,3948,7058,0.246969,0.767983,-0.590938
4453,0,1551,270,2162,26,156,8618,7934,16552,0.0660745,-0.304938,-0.950077
4652,0,1543,263,2124,24,153,8759,8795,17554,0.293229,0.764763,-0.57372
2801,0,959,159,1283,18,89,5309,4197,9506,0.0620951,-0.238202,-0.969229
3312,0,1106,188,1686,17,106,6415,11304,17719,0.30947,0.788491,-0.531517
2661,0,942,166,1259,12,88,5128,4853,9981,0.173598,-0.312226,-0.934012
3802,0,1339,223,1737,14,127,7242,10472,17714,0.295052,0.872111,-0.390341
2915,0,1024,184,1391,13,100,5627,5422,11049,0.105182,-0.341958,-0.93381
6059,0,2245,405,3305,32,239,12285,20280,32565,0.287789,0.69915,-0.654497
1806,0,566,101,751,8,55,3287,2041,5328,0.0923752,-0.340865,-0.935563
6669,0,2517,444,3013,26,163,12832,7468,20300,0.249615,0.777931,-0.576642
6748,0,2651,289,2278,28,175,12169,4144,16313,0.0910947,-0.338906,-0.9364
2916,0,1009,176,1323,14,103,5541,9125,14666,0.321717,0.594389,-0.737021
2479,0,812,138,1128,14,90,4661,3666,8327,0.106509,-0.324143,-0.939993
6608,0,2375,551,3920,41,244,13739,23882,37621,0.392904,0.82405,-0.408127
2363,0,724,143,992,10,72,4304,2495,6799,0.0681838,-0.310223,-0.948215
2218,0,697,118,962,9,71,4075,6712,10787,0.330377,0.743259,-0.581736
2700,0,879,148,1407,15,98,5247,4601,9848,0.21408,-0.32532,-0.921052
3497,0,1179,196,1628,14,112,6626,10940,17566,0.411417,0.818954,-0.400063
2862,0,959,165,1329,14,91,5420,3871,9291,0.00937354,-0.34395,-0.938941
3332,0,1157,223,1589,13,115,6429,12105,18534,0.229734,0.683786,-0.692575
2802,0,914,154,1242,11,86,5209,4859,10068,0.144709,-0.325814,-0.934293
6460,0,2456,518,3298,30,223,12985,11096,24081,0.377719,0.823986,-0.422345
2653,0,810,145,1107,13,80,4808,5119,9927,-0.0228091,-0.339855,-0.940201
2485,0,795,135,1050,11,73,4549,4902,9451,0.236021,0.90607,-0.351185
3034,0,1159,233,1933,18,112,6489,5437,11926,0.101379,-0.164237,-0.981198
2941,0,1029,191,1357,12,103,5633,11904,17537,0.142313,0.921601,-0.361109
2082,0,686,132,923,12,68,3903,4207,8110,-0.0127256,-0.372576,-0.927914
6503,0,2110,399,2903,30,221,12166,-1,-1,-1,-1,-1
2243,0,739,159,921,10,66,4138,5841,9979,0.00841502,-0.039008,-0.999203
1556,0,505,89,687,8,48,2893,3590,6483,0.032818,-0.0482734,-0.998295
2206,0,528,92,650,8,60,3544,1266,4810,0.0388541,-0.0951403,-0.994705
6499,0,2120,389,2890,43,216,12157,5654,17811,0.0304279,-0.102412,-0.994277
2719,0,881,154,1197,13,91,5055,1825,6880,0.00958159,-0.0374456,-0.999253
4739,0,1534,262,2250,22,161,8968,3947,12915,0.0246864,-0.0533072,-0.998273
4936,0,1616,280,2070,24,158,9084,2557,11641,0.0247275,-0.0410602,-0.998851
2794,0,887,151,1161,15,83,5091,1532,6623,0.00547585,-0.0336367,-0.999419
6546,0,1923,348,2670,31,212,11730,3526,15256,0.0145716,-0.0435058,-0.998947
3301,0,1029,189,1121,13,86,5739,873,6612,0.0263219,-0.0409797,-0.998813
1871,0,513,97,687,8,51,3227,583,3810,0.00590809,-0.0369927,-0.999298
1974,0,591,105,789,12,60,3531,645,4176,0.0138948,-0.0463423,-0.998829
6201,0,1776,365,2316,31,189,10878,2100,12978,0.00726694,-0.0381562,-0.999245
5060,0,1125,192,1444,20,107,7948,1448,9396,0.0392782,-0.0443273,-0.998245
3817,0,1003,170,1339,25,96,6450,1462,7912,0.0103288,-0.0350194,-0.999333
6014,0,1633,286,2212,30,159,10334,2201,12535,0.00519008,-0.035967,-0.99934
4217,0,1182,203,1562,19,111,7294,1860,9154,0.0199118,-0.0492036,-0.99859
6049,0,1729,302,2268,33,167,10548,2324,12872,0.0129589,-0.0448466,-0.99891
4256,0,1218,221,1698,24,130,7547,1529,9076,0.0118903,-0.044271,-0.998949
4461,0,1229,228,1609,20,129,7676,1481,9157,0.0139897,-0.0343897,-0.999311
5468,0,1652,271,2110,27,151,9679,1963,11642,0.00612847,-0.0376985,-0.99927
4140,0,1391,272,2088,23,127,8041,1480,9521,0.00690266,-0.0296925,-0.999535
3883,0,1131,221,1477,18,116,6846,1342,8188,0.0197796,-0.043598,-0.998853
6071,0,1737,336,2229,30,166,10569,2083,12652,0.0267499,-0.0371917,-0.99895
6185,0,1683,303,2871,48,197,11287,1558,12845,0.0297,-0.053802,-0.99811
3359,0,931,177,1219,21,91,5798,1229,7027,0.0107456,-0.0644468,-0.997863
5077,0,1437,259,1949,72,142,8936,1773,10709,-0.00560619,-0.0853146,-0.996338
6147,0,1666,288,2222,36,162,10521,1562,12083,-0.00956851,-0.0807959,-0.996685
3202,0,853,154,1198,16,81,5504,1073,6577,-0.0112021,-0.0225056,-0.999684
6187,0,1568,301,2207,31,176,10470,2224,12694,-0.00714616,0.0131055,-0.999889
4134,0,1128,228,1884,23,128,7525,1403,8928,-0.00318705,0.00120108,-0.999994
4226,0,1179,198,1619,25,120,7367,1549,8916,0.00251485,-0.0190295,-0.999816
