Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
6536,0,2060,368,7443,1569,234,18210,3608,21818,0.0212249,-0.0324823,-0.999247
3559,0,1248,216,1398,36,112,6569,1225,7794,0.00166682,-0.0301713,-0.999543
2524,0,853,146,1106,55,84,4768,1223,5991,0.0101377,-0.0375295,-0.999244
3265,0,921,158,1195,36,94,5669,1075,6744,0.00505956,-0.0364474,-0.999323
2530,0,851,161,1162,30,90,4824,1012,5836,0.00154427,-0.0264303,-0.999649
3757,0,1325,213,1769,50,145,7259,2270,9529,0.0150065,-0.0423489,-0.99899
6719,0,2395,449,3225,81,231,13100,2791,15891,0.0155206,-0.0397507,-0.999089
3554,0,1248,239,1713,43,128,6925,1720,8645,-0.000332324,-0.0269475,-0.999637
3301,0,1154,202,1584,52,115,6408,1448,7856,0.00877014,-0.039723,-0.999172
3248,0,1164,214,1558,38,120,6342,1593,7935,0.00360359,-0.035142,-0.999376
6664,0,2379,525,3337,79,227,13211,2442,15653,0.0162829,-0.0387179,-0.999118
4512,0,1656,316,2201,66,175,8926,1339,10265,0.00308245,-0.0305458,-0.999529
2819,0,998,178,1331,32,101,5459,1230,6689,0.00598099,-0.0379639,-0.999261
1695,0,602,107,787,19,56,3266,568,3834,0.0167906,-0.0400199,-0.999058
1702,0,608,116,736,17,93,3272,634,3906,0.0294531,-0.0512686,-0.99825
1461,0,580,136,809,18,51,3055,923,3978,0.028404,-0.0408713,-0.998761
1713,0,615,160,807,21,71,3387,656,4043,0.00814554,-0.0364696,-0.999302
1450,0,683,167,808,40,92,3240,658,3898,0.0142068,-0.0381187,-0.999172
1422,0,605,116,728,16,90,2977,717,3694,0.0122577,-0.0346828,-0.999323
1674,0,573,131,741,20,70,3209,627,3836,0.00683992,-0.040484,-0.999157
1658,0,616,112,823,18,88,3315,625,3940,-0.000694629,-0.0297172,-0.999558
1467,0,573,114,794,42,54,3044,643,3687,0.000415722,-0.0300924,-0.999547
1423,0,546,107,753,18,107,2954,595,3549,0.00938873,-0.0397524,-0.999165
1531,0,590,140,816,27,77,3181,684,3865,0.0194631,-0.045317,-0.998783
1428,0,579,129,764,18,104,3022,581,3603,0.00141711,-0.0307653,-0.999526
1696,0,560,130,721,39,65,3211,569,3780,0.00911361,-0.0360982,-0.999307
1464,0,524,130,731,18,79,2946,777,3723,0.015267,-0.0350192,-0.99927
1554,0,622,86,702,37,51,3052,676,3728,0.00980258,-0.0384227,-0.999213
1954,0,607,121,784,17,76,3559,790,4349,0.00961816,-0.039154,-0.999187
1568,0,680,122,758,37,53,3218,771,3989,0.0169504,-0.0420335,-0.998972
1661,0,666,118,749,28,63,3285,679,3964,0.00924229,-0.0528127,-0.998562
2064,0,640,152,857,20,54,3787,923,4710,0.00358861,-0.0343552,-0.999403
1554,0,635,140,961,20,56,3366,632,3998,0.0274291,-0.0611229,-0.997753
1566,0,601,130,791,36,93,3217,659,3876,0.0120625,-0.0303971,-0.999465
1638,0,584,133,728,17,82,3182,669,3851,0.00604991,-0.033089,-0.999434
1506,0,555,111,833,41,85,3131,618,3749,0.0122392,-0.0496779,-0.99869
2092,0,554,144,820,42,55,3707,735,4442,0.00566649,-0.0356231,-0.999349
1493,0,634,129,912,36,93,3297,648,3945,0.0234631,-0.0596708,-0.997942
1506,0,548,124,723,18,51,2970,625,3595,0.00660524,-0.0383524,-0.999242
1862,0,674,111,894,22,66,3629,893,4522,0.0108452,-0.0377077,-0.99923
5264,0,1826,364,2651,84,211,10400,1982,12382,0.0183058,-0.0558904,-0.998269
5726,0,2109,428,2776,69,206,11314,1718,13032,0.0117341,-0.0368462,-0.999252
3861,0,1380,243,1876,45,145,7550,2352,9902,0.0134211,-0.0424697,-0.999008
5545,0,1992,450,2713,76,191,10967,2413,13380,0.00294751,-0.0377448,-0.999283
3983,0,1463,236,1951,132,137,7902,1713,9615,0.00276267,-0.031803,-0.99949
3744,0,1331,212,1860,42,136,7325,1702,9027,0.00574235,-0.0412469,-0.999132
3756,0,1310,224,1746,40,149,7225,2208,9433,0.00458933,-0.0359046,-0.999345
3693,0,1364,216,1723,43,186,7225,1955,9180,0.0164409,-0.0460916,-0.998802
3768,0,1298,246,1847,44,123,7326,1604,8930,0.0191103,-0.0375543,-0.999112
6193,0,2066,300,2171,53,164,10947,1490,12437,-0.000822005,-0.0285948,-0.999591
2750,0,1014,174,1296,30,97,5361,1307,6668,0.0133125,-0.0372664,-0.999217
3896,0,1545,218,1810,43,143,7655,2069,9724,0.018281,-0.0503707,-0.998563
3731,0,1320,211,1826,43,127,7258,1637,8895,0.00483387,-0.0309322,-0.99951
3742,0,1369,250,1782,42,130,7315,1990,9305,0.00665528,-0.0379269,-0.999258
3724,0,1467,214,1864,64,142,7475,1684,9159,0.00521279,-0.0372561,-0.999292
3821,0,1303,235,1741,52,139,7291,2051,9342,-0.00272442,-0.0220661,-0.999753
3720,0,1309,234,1820,51,128,7262,1710,8972,0.0196281,-0.0459241,-0.998752
6456,0,2676,403,2874,87,234,12730,2712,15442,0.00595872,-0.0367947,-0.999305
4236,0,1526,247,2100,52,155,8316,2221,10537,0.0032428,-0.017434,-0.999843
4286,0,1481,277,2325,70,171,8610,2034,10644,0.000180521,-0.0444191,-0.999013
4149,0,1476,261,2080,63,159,8188,1860,10048,0.0174914,-0.0339591,-0.99927
7032,0,2838,415,2595,52,148,13080,1972,15052,0.0224921,-0.060782,-0.997898
2794,0,972,161,1320,36,100,5383,1232,6615,0.0072943,-0.0455888,-0.998934
4120,0,1354,260,1887,56,142,7819,1757,9576,0.0121321,-0.0282103,-0.999528
3895,0,1363,232,1931,55,140,7616,1802,9418,0.00564986,-0.0362619,-0.999326
3840,0,1305,220,1779,43,137,7324,1398,8722,0.00562495,-0.0402605,-0.999173
4755,0,1667,265,2137,55,161,9040,1861,10901,0.0148003,-0.0488498,-0.998696
5843,0,1907,352,2545,82,203,10932,3478,14410,0.00998025,-0.0485757,-0.99877
4072,0,1069,188,1429,40,107,6905,1074,7979,0.00639932,-0.0376744,-0.99927
2042,0,629,103,833,26,60,3693,725,4418,0.00209189,-0.0446959,-0.998998
2046,0,653,111,884,28,62,3784,725,4509,0.00899108,-0.0370025,-0.999275
6502,0,2027,391,2816,122,175,12033,2384,14417,0.00541453,-0.0377072,-0.999274
6251,0,2082,386,2865,59,135,11778,1520,13298,-0.0044045,-0.022131,-0.999745
3325,0,1074,177,1462,45,104,6187,1220,7407,0.014806,-0.0470133,-0.998785
6329,0,1991,331,2977,86,191,11905,2121,14026,0.00762645,-0.0385049,-0.999229
4333,0,1394,226,1909,58,146,8066,1454,9520,0.00246666,-0.0244181,-0.999699
6382,0,1927,323,2614,85,190,11521,2306,13827,0.00380646,-0.0371818,-0.999301
3299,0,931,132,1094,35,77,5568,850,6418,0.00855177,-0.0326929,-0.999429
1734,0,519,89,694,23,54,3113,561,3674,0.00446409,-0.0401996,-0.999182
1730,0,524,87,703,55,59,3158,887,4045,0.000809579,-0.0148718,-0.999889
6456,0,1939,316,2365,100,191,11367,1734,13101,0.023847,-0.0374832,-0.999013
6472,0,1373,226,1554,83,126,9834,1170,11004,0.0259383,-0.0282021,-0.999266
