Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
6828,0,0,0,0,7672,171,14671,3936,18607,0.0109767,-0.0361171,-0.999287
2522,0,0,0,0,3451,68,6041,3179,9220,0.0334507,-0.0343868,-0.998849
3300,0,0,0,0,4191,88,7579,3612,11191,0.0189206,-0.0313907,-0.999328
2344,0,0,0,0,3032,83,5459,2687,8146,-0.00180495,-0.0161741,-0.999868
2551,0,0,0,0,3258,90,5899,3115,9014,-0.0254385,0.000883867,-0.999676
2651,0,0,0,0,3375,88,6114,2648,8762,-0.026968,-0.00558383,-0.999621
2677,0,0,0,0,3272,96,6045,3081,9126,-0.049241,0.0357208,-0.998148
2738,0,0,0,0,3584,98,6420,2585,9005,-0.0978,-0.00713022,-0.995181
2521,0,0,0,0,3218,90,5829,2922,8751,-0.0806982,-0.00503689,-0.996726
2118,0,0,0,0,2679,73,4870,2327,7197,-0.080813,0.00771149,-0.996699
2696,0,0,0,0,3412,92,6200,2951,9151,-0.0870416,-0.0132002,-0.996117
3467,0,0,0,0,4751,127,8345,4020,12365,-0.0653633,-0.00688486,-0.997838
6601,0,0,0,0,8608,188,15397,3343,18740,-0.0793196,0.00952637,-0.996804
2113,0,0,0,0,2753,82,4948,2173,7121,-0.0770649,0.0107671,-0.996968
2073,0,0,0,0,3262,77,5412,2156,7568,-0.0133785,-0.0276187,-0.999529
2645,0,0,0,0,3018,79,5742,2929,8671,-0.0294047,-7.33656e-07,-0.999568
1791,0,0,0,0,2310,64,4165,1790,5955,-0.0974956,-0.00559012,-0.99522
1491,0,0,0,0,2058,73,3622,1637,5259,-0.0662817,-0.000501356,-0.997801
1692,0,0,0,0,2091,87,3870,2100,5970,-0.0668906,0.0244578,-0.997461
1857,0,0,0,0,2135,81,4073,1920,5993,-0.0212197,-0.0131319,-0.999689
1659,0,0,0,0,1983,73,3715,1725,5440,-0.0431428,-0.0168035,-0.998928
1502,0,0,0,0,2061,76,3639,1629,5268,-0.0343418,-0.00597347,-0.999392
1517,0,0,0,0,2084,79,3680,1799,5479,-0.0716412,0.00477549,-0.997419
1530,0,0,0,0,2168,62,3760,1802,5562,-0.0916671,0.00117044,-0.995789
1497,0,0,0,0,1984,71,3552,1686,5238,-0.0183478,-0.0339869,-0.999254
1571,0,0,0,0,2185,78,3834,1796,5630,-0.0218913,-0.0477292,-0.99862
1674,0,0,0,0,2058,79,3811,1996,5807,-0.0676136,-0.111091,-0.991508
1571,0,0,0,0,2090,70,3731,1610,5341,-0.0180924,-0.0431815,-0.998903
1649,0,0,0,0,1896,76,3621,1722,5343,-0.0576323,-0.0473588,-0.997214
1628,0,0,0,0,2045,79,3752,1731,5483,-0.029824,-0.0413336,-0.9987
1584,0,0,0,0,1911,77,3572,2224,5796,-0.0835502,-0.0041919,-0.996495
1732,0,0,0,0,2205,59,3996,1634,5630,-0.019745,-0.0411233,-0.998959
1495,0,0,0,0,2073,80,3648,2184,5832,-0.0615298,-0.0335102,-0.997543
1590,0,0,0,0,2159,90,3839,1830,5669,-0.0704382,-0.0377917,-0.9968
1466,0,0,0,0,2022,75,3563,1833,5396,-0.0943248,0.0017297,-0.99554
1552,0,0,0,0,2004,83,3639,1625,5264,-0.0715174,0.0330507,-0.996892
1468,0,0,0,0,2196,81,3745,1573,5318,-0.0111077,-0.0276418,-0.999556
