scan_id,timestamp,pos_x,pos_y,pos_z,GT_nx,GT_ny,GT_nz,num_neighbors
172,1782999349.843594074,-52.420200070,-10.490188614,208.813546744,0.013728990,0.006789959,0.999882699,200
173,1782999349.894234896,-50.683295378,-7.886715065,208.536612478,0.077710268,0.066867221,0.994731064,200
174,1782999349.944659948,-51.107481271,-6.017557219,211.382594116,0.015049428,-0.001567129,0.999885523,200
175,1782999349.994900942,-52.614006151,-4.359213512,216.391543489,0.036834777,-0.020813223,0.999104604,200
176,1782999350.044765949,-56.043856349,-2.681447400,225.047053019,0.004662564,0.004200184,0.999980309,200
177,1782999350.094897032,-57.322096384,-1.842494659,230.849505079,-0.002927730,-0.006994429,0.999971253,200
178,1782999350.144414902,-59.296379583,-1.709044473,237.261722425,-0.013004840,-0.006775646,0.999892477,200
179,1782999350.194243908,-62.329982750,-1.880957470,241.918843018,0.004717794,-0.004421594,0.999979096,200
180,1782999350.243649960,-63.314806218,-2.650774883,248.278320473,-0.001324514,-0.002082708,0.999996954,200
181,1782999350.294501066,-66.242782898,-3.179093227,253.529413432,0.012888358,-0.013247249,0.999829186,200
182,1782999350.342684031,-68.571433624,-4.546613690,257.056385368,-0.003570242,-0.006367467,0.999973354,200
183,1782999350.392502069,-70.730499484,-6.031778930,260.738155455,-0.003744350,-0.008702300,0.999955124,200
184,1782999350.442076921,-71.990264344,-7.879255873,262.762617226,0.007055683,0.003305094,0.999969646,200
185,1782999350.491286039,-74.028101522,-9.645890760,266.777679862,0.022608409,0.022401879,0.999493380,200
186,1782999350.541912079,-75.809959193,-11.222526481,269.958202252,0.006240528,-0.002855183,0.999976452,200
187,1782999350.591576099,-78.045739266,-13.027758994,274.843096438,-0.011760275,-0.005160479,0.999917529,200
188,1782999350.641583920,-77.958240205,-15.238532219,275.350762769,-0.005759183,0.006573917,0.999961807,200
189,1782999350.691709042,-78.110934986,-17.365670921,275.392332379,-0.005759183,0.006573917,0.999961807,200
190,1782999350.741539955,-77.631906328,-19.281927613,274.470271436,-0.016161423,-0.007688727,0.999839833,200
191,1782999350.791538954,-76.953036619,-20.084468353,273.224406397,0.004623455,0.003433802,0.999983416,200
192,1782999350.841939926,-77.034604212,-20.031378141,273.198207729,0.002380767,0.014119753,0.999897477,200
193,1782999350.892373085,-77.166806865,-20.819490601,274.735889920,-0.017435414,-0.018243018,0.999681549,200
194,1782999350.942014933,-77.517077946,-20.629675415,274.942108178,-0.012147713,-0.009739758,0.999878778,200
195,1782999350.992013931,-78.600608556,-20.672726561,276.825055471,0.016085028,0.015526151,0.999750074,200
196,1782999351.041977882,-78.153775834,-20.188384144,277.445695343,0.017483397,0.011867412,0.999776723,200
197,1782999351.092391968,-78.413299685,-19.872810538,278.378530987,0.027599522,0.005796398,0.999602255,200
198,1782999351.142384052,-78.806068406,-19.223430591,279.310469465,0.008811806,0.003983980,0.999953239,200
199,1782999351.192399025,-79.219042889,-18.011893474,280.220149524,0.000373263,-0.013323532,0.999911168,200
200,1782999351.242578030,-79.808787630,-17.326787454,281.465300792,0.024930475,-0.017655685,0.999533265,200
201,1782999351.293405056,-79.416277489,-16.032998392,282.529392705,0.012468379,-0.007242377,0.999896038,200
202,1782999351.343626976,-79.610476086,-14.600692548,285.090314335,0.004033768,-0.004635273,0.999981121,200
203,1782999351.393651962,-81.375046121,-13.186503543,288.745284092,0.012317689,-0.011457237,0.999858493,200
204,1782999351.444082022,-83.196772459,-10.013103774,292.849855422,0.009390884,0.000063399,0.999955903,200
205,1782999351.494093895,-83.933141695,-8.047295866,294.168014140,0.016959801,-0.001080221,0.999855589,200
