scan_id,timestamp,pos_x,pos_y,pos_z,GT_nx,GT_ny,GT_nz,num_neighbors
001,1783000591.227392912,1.565819717,-11.357273143,4.870288343,0.010366284,0.005966426,0.999928468,70
002,1783000591.277756929,1.718027685,-11.372397720,4.162969805,0.028337577,0.004802485,0.999586874,68
003,1783000591.327594995,1.777561743,-11.382343885,4.691024507,0.028337577,0.004802485,0.999586874,68
004,1783000591.377403021,1.336146450,-11.342599748,4.191116531,0.028337577,0.004802485,0.999586874,68
005,1783000591.427417040,1.448412775,-11.423094699,4.530874841,0.028337577,0.004802485,0.999586874,68
006,1783000591.478009939,1.647551454,-11.432477352,5.196182984,0.010366284,0.005966426,0.999928468,70
007,1783000591.527792931,1.551116650,-11.351335614,4.459674480,0.028337577,0.004802485,0.999586874,68
008,1783000591.577791929,1.204339439,-11.418455021,4.468518941,0.028337577,0.004802485,0.999586874,68
009,1783000591.627820015,1.447382092,-11.392611763,4.780771040,0.028337577,0.004802485,0.999586874,68
010,1783000591.677793980,1.798335913,-11.416518806,4.101131315,0.028337577,0.004802485,0.999586874,68
011,1783000591.727581024,0.983403877,-11.535619225,3.428247992,0.041451647,-0.001384329,0.999139552,66
012,1783000591.777817011,1.813021744,-11.442419958,4.963385314,0.010366284,0.005966426,0.999928468,70
013,1783000591.828053951,1.285337301,-11.393103966,4.603077734,0.028337577,0.004802485,0.999586874,68
014,1783000591.877855062,1.230197846,-11.555302460,4.162298865,0.028337577,0.004802485,0.999586874,68
015,1783000591.927470922,1.496352904,-11.407012466,4.638345434,0.028337577,0.004802485,0.999586874,68
016,1783000591.978089094,1.694915691,-11.384117306,3.970562191,0.028337577,0.004802485,0.999586874,68
017,1783000592.028093100,0.739661195,-11.339163758,3.792102657,0.041451647,-0.001384329,0.999139552,66
018,1783000592.077719927,1.286076953,-11.467141793,4.458838449,0.028337577,0.004802485,0.999586874,68
019,1783000592.127707958,1.582127270,-11.380860041,3.895777335,0.028337577,0.004802485,0.999586874,68
020,1783000592.177709103,1.370634332,-11.507333294,4.718300137,0.028337577,0.004802485,0.999586874,68
021,1783000592.227734089,1.582936339,-11.317510410,4.628926619,0.028337577,0.004802485,0.999586874,68
022,1783000592.278115034,2.099396454,-11.451214849,4.731952558,0.028337577,0.004802485,0.999586874,68
023,1783000592.327941895,1.715342330,-11.462664688,4.782858945,0.028337577,0.004802485,0.999586874,68
