scan_id,timestamp,pos_x,pos_y,pos_z,GT_nx,GT_ny,GT_nz,num_neighbors
075,1782805495.128835917,13.198463440,4.239259490,-26.066246295,0.102971765,0.032005087,0.994169246,103
076,1782805495.178816080,11.641164921,4.317214582,-24.911229590,0.099416430,0.039121356,0.994276568,42
077,1782805495.229029894,12.159096725,4.242648217,-25.236032598,0.097074235,0.045953028,0.994215727,100
078,1782805495.278853893,11.448151786,3.871032450,-25.024139975,0.099416430,0.039121356,0.994276568,42
079,1782805495.329024076,11.779786164,4.240890330,-25.508631428,0.102504079,0.038199425,0.993998852,39
080,1782805495.379245996,11.587738403,3.500567242,-24.189861088,0.099416430,0.039121356,0.994276568,42
081,1782805495.428863049,11.658749766,4.368265730,-24.069481773,0.099416430,0.039121356,0.994276568,42
082,1782805495.478883982,11.800771672,4.296814300,-24.547384389,0.099416430,0.039121356,0.994276568,42
083,1782805495.529098988,11.256199347,4.086918270,-24.468538922,0.099030588,0.056020268,0.993506252,103
084,1782805495.578897953,10.970737413,3.066844251,-23.923997796,0.099030588,0.056020268,0.993506252,103
085,1782805495.628899097,12.217660070,3.529621542,-24.864816263,0.099416430,0.039121356,0.994276568,42
086,1782805495.678699017,10.637299310,3.604407927,-24.101915571,0.099152541,0.034994687,0.994456709,42
087,1782805495.728522062,9.940123524,3.390086518,-24.086263525,0.092430744,0.066642936,0.993486425,101
088,1782805495.779107094,9.975600633,4.130410260,-23.050490809,0.128929998,0.047711804,0.990505244,99
089,1782805495.829085112,11.415115879,4.168981123,-24.286942484,0.099030588,0.056020268,0.993506252,103
090,1782805495.879317999,10.969252480,3.426123210,-23.316177416,0.138652775,0.043013068,0.989406531,95
091,1782805495.929147005,11.319625869,3.674611352,-23.626445430,0.099030588,0.056020268,0.993506252,103
092,1782805495.979378939,11.831422222,3.800138224,-23.690335063,0.138652775,0.043013068,0.989406531,95
093,1782805496.029342890,11.797929471,3.385445130,-22.996599587,0.138652775,0.043013068,0.989406531,95
094,1782805496.079231024,12.304703524,3.286299002,-22.474555082,0.132300981,0.018618257,0.991034717,98
095,1782805496.128971100,12.347881927,3.128646487,-20.659034970,0.100951023,0.035347892,0.994263254,52
096,1782805496.179004908,12.315453793,2.781201502,-21.727109212,0.132300981,0.018618257,0.991034717,98
097,1782805496.229002953,13.101136396,2.847679793,-21.117986045,0.167140415,-0.001013380,0.985932581,88
098,1782805496.278994083,13.061305298,2.567470107,-20.695406320,0.099854543,0.044842881,0.993991039,52
099,1782805496.329004049,13.107230300,2.426801406,-20.730499651,0.099854543,0.044842881,0.993991039,52
100,1782805496.379201889,12.649937201,2.301485944,-18.688544894,0.164592754,0.010235397,0.986308502,83
101,1782805496.429429054,12.721516071,2.098728435,-21.395902376,0.132300981,0.018618257,0.991034717,98
102,1782805496.479429960,12.832065308,2.020581553,-20.748593534,0.099854543,0.044842881,0.993991039,52
103,1782805496.528826952,12.976635047,1.619454777,-21.678200228,0.132300981,0.018618257,0.991034717,98
104,1782805496.579032898,11.354205706,2.364688238,-21.226372150,0.100951023,0.035347892,0.994263254,52
105,1782805496.629040956,10.664296663,1.576138627,-19.446421477,0.093676685,0.031085985,0.995117249,53
106,1782805496.678951979,9.957417989,2.258384614,-18.150614311,0.093676685,0.031085985,0.995117249,53
107,1782805496.728836060,11.116660934,2.498926801,-16.652367886,0.190861813,0.090213146,0.977462714,102
108,1782805496.779043913,12.645524807,1.007724164,-17.065765913,0.165501859,0.058494733,0.984473210,91
109,1782805496.829087973,11.473320833,0.143509483,-16.419545367,0.190861813,0.090213146,0.977462714,102
110,1782805496.878858089,3.591647292,3.814781755,-5.307269140,0.212730477,0.157651160,0.964309004,110
111,1782805496.929075003,3.546434535,4.458498737,-6.996190793,0.282571807,-0.000131186,0.959246140,116
112,1782805496.978492022,5.309894219,5.056434276,-6.452289590,0.147657892,0.069044121,0.986625591,102
113,1782805497.028892994,6.193107591,5.498351866,-3.542387691,0.136237385,0.030499684,0.990206617,62
114,1782805497.078896999,6.863663339,4.782269143,-5.356361448,0.174620462,0.109184661,0.978563439,104
115,1782805497.129122019,8.363219457,4.048360462,-4.345514793,0.156639729,0.066132284,0.985439250,87
116,1782805497.178742886,8.425710609,4.936226065,-2.668448658,0.136379988,0.039905116,0.989852555,56
117,1782805497.228756905,11.375693229,3.733747318,-4.456238157,0.118055482,0.029373319,0.992572472,54
118,1782805497.279158115,13.720602325,4.116419865,-2.854299747,0.192778013,-0.223033483,0.955558843,77
119,1782805497.328974009,12.312147762,3.262840923,-1.404413924,0.198474798,-0.146315009,0.969123146,82
120,1782805497.378796101,11.404116703,2.441143163,-1.472492863,0.118325301,0.044274860,0.991987329,60
121,1782805497.428961992,9.578468092,2.689583474,1.734387626,0.118652568,0.057069631,0.991294419,70
122,1782805497.478791952,15.566092995,2.402023068,-2.194350841,0.093160200,0.065410786,0.993500179,56
123,1782805497.529012918,11.094981000,1.674188413,1.528396268,0.198992023,-0.148844379,0.968631780,82
124,1782805497.579216957,10.556631591,-0.289533370,-1.941083214,0.118325301,0.044274860,0.991987329,60
125,1782805497.628963947,10.827767032,0.699317590,-1.127787718,0.169379132,-0.054071588,0.984066549,85
126,1782805497.678957939,8.793409734,0.518235744,-1.421991245,0.125770823,0.051173906,0.990738579,66
127,1782805497.729233027,8.377576014,-0.018306726,-2.399609340,0.136379988,0.039905116,0.989852555,56
128,1782805497.779381037,8.510432273,-0.603915974,-5.252116697,0.156639729,0.066132284,0.985439250,87
129,1782805497.829400063,8.991168854,-0.404849034,-5.974028439,0.156639729,0.066132284,0.985439250,87
130,1782805497.879220009,6.624240681,-1.106219430,-5.137517504,0.174620462,0.109184661,0.978563439,104
131,1782805497.928877115,6.687168788,-0.122412022,-7.597212676,0.113130819,0.028833955,0.993161629,50
132,1782805497.979250908,6.229613679,-1.276182831,-6.056801239,0.130109445,0.029195094,0.991069714,64
133,1782805498.029231071,5.786552213,-3.044490742,-5.200867812,0.169428912,0.113852943,0.978943998,109
134,1782805498.079061985,6.209879112,-2.571806439,-4.368831851,0.136237385,0.030499684,0.990206617,62
135,1782805498.128891945,6.647384013,-2.891215858,-2.529708447,0.155133361,0.111226090,0.981612142,96
136,1782805498.179039001,5.673309683,-3.490044216,-1.968872035,0.147742113,0.174431417,0.973522444,110
137,1782805498.228679895,6.598614024,-3.355284801,-0.725416966,0.129749483,0.043143259,0.990607758,69
138,1782805498.278331041,3.722041218,-3.258613243,-2.485410238,0.147742113,0.174431417,0.973522444,110
139,1782805498.328891993,8.573788123,-3.308523869,0.513424346,0.125770823,0.051173906,0.990738579,66
140,1782805498.378901005,8.814735760,-2.976655943,-1.312939036,0.125770823,0.051173906,0.990738579,66
141,1782805498.428698063,8.498106151,-3.051199315,-1.663288916,0.125770823,0.051173906,0.990738579,66
142,1782805498.478348017,9.519389852,-3.496205730,1.627105374,0.118652568,0.057069631,0.991294419,70
143,1782805498.528707027,9.115216799,-3.214830097,-2.100694601,0.136379988,0.039905116,0.989852555,56
144,1782805498.578733921,10.157188982,-2.648683578,-4.859418369,0.156639729,0.066132284,0.985439250,87
145,1782805498.628954887,10.673047975,-2.713127246,-4.669817815,0.118055482,0.029373319,0.992572472,54
146,1782805498.679351091,9.676565627,-2.647517758,-5.445360433,0.156639729,0.066132284,0.985439250,87
147,1782805498.728950024,6.781283089,-3.389129738,-3.191376385,0.155133361,0.111226090,0.981612142,96
148,1782805498.778980970,8.806114137,-3.509765907,-2.886805021,0.136379988,0.039905116,0.989852555,56
149,1782805498.829034090,7.143567796,-4.151283367,0.096994153,0.129749483,0.043143259,0.990607758,69
150,1782805498.878995895,5.427581313,-4.619767307,0.550149997,0.134828178,0.034570372,0.990265748,68
151,1782805498.928590059,6.883348219,-5.182674291,3.913011625,0.109162360,0.055527851,0.992471781,77
152,1782805498.979008913,8.257930250,-5.679170338,5.215883929,0.155763132,-0.074869919,0.984952964,88
153,1782805499.028805017,9.542199954,-5.651209777,5.085672646,0.198949111,-0.118663677,0.972799148,85
154,1782805499.079003096,7.904281506,-6.376316052,6.937153924,0.174255513,-0.056102011,0.983101002,97
155,1782805499.129045010,7.773878074,-6.898756298,8.977105708,0.095529408,0.062820824,0.993442337,89
156,1782805499.178466082,5.744678377,-7.796342472,13.828097054,0.109494392,0.066123038,0.991785623,88
157,1782805499.228794098,6.349004367,-7.805226309,13.335681801,0.106361818,0.063754751,0.992281460,90
158,1782805499.279047966,5.636804626,-8.052947714,14.504809523,0.112644532,0.072183491,0.991009966,86
159,1782805499.328836918,6.084448533,-8.298287073,16.373588151,0.116005142,0.081921093,0.989864507,85
160,1782805499.378851891,4.914268981,-8.306842889,16.177958949,0.119668130,0.075242673,0.989958625,83
161,1782805499.428486109,4.512966544,-7.912121129,15.048625077,0.115229620,0.071566573,0.990757468,87
162,1782805499.478857040,5.708470048,-8.175345298,15.273493549,0.112644532,0.072183491,0.991009966,86
163,1782805499.529125929,5.935127866,-8.186146191,16.096832906,0.116005142,0.081921093,0.989864507,85
164,1782805499.578908920,6.091394195,-8.012697787,14.679714391,0.112644532,0.072183491,0.991009966,86
165,1782805499.629115105,6.312322397,-8.255325443,14.938717649,0.112644532,0.072183491,0.991009966,86
166,1782805499.679084063,6.830261790,-8.274153458,15.683111979,0.169980873,-0.110460283,0.979236962,96
167,1782805499.728729010,6.250013345,-8.414847810,15.827760639,0.116005142,0.081921093,0.989864507,85
168,1782805499.778713942,6.857019296,-8.582209805,16.394274088,0.116005142,0.081921093,0.989864507,85
169,1782805499.828881025,7.123887475,-8.032928330,15.449098166,0.169980873,-0.110460283,0.979236962,96
170,1782805499.878735065,6.009204092,-8.544058215,16.442587704,0.116005142,0.081921093,0.989864507,85
171,1782805499.929172039,6.732225628,-8.558508241,18.074901935,0.114372089,0.077297744,0.990426213,83
172,1782805499.978775978,6.369430766,-8.896029126,18.197145195,0.165101840,-0.121256971,0.978794222,87
173,1782805500.028757095,5.880803075,-9.521468245,20.316480315,0.125054587,0.084900492,0.988510626,79
174,1782805500.078774929,6.827719260,-8.835932302,19.050114286,0.114372089,0.077297744,0.990426213,83
175,1782805500.128792048,6.221582156,-9.768873091,21.161743619,0.125054587,0.084900492,0.988510626,79
176,1782805500.178601980,6.759265435,-9.885811606,20.146941199,0.142381052,-0.141556915,0.979637318,84
177,1782805500.229351044,7.033267802,-9.920162311,20.002850033,0.142381052,-0.141556915,0.979637318,84
178,1782805500.279428959,6.799306939,-9.870812964,21.485367523,0.124474495,0.082768810,0.988764595,75
179,1782805500.329649925,8.119894434,-10.071144312,18.744808764,0.114372089,0.077297744,0.990426213,83
180,1782805500.379240990,7.604098130,-9.994499110,16.587836439,0.110978729,0.078415829,0.990724321,87
181,1782805500.429299116,8.221674484,-10.068079215,16.526251872,0.110978729,0.078415829,0.990724321,87
182,1782805500.478847980,8.372396635,-9.670571539,16.475721035,0.110978729,0.078415829,0.990724321,87
183,1782805500.529025078,8.367579524,-10.371034277,17.905629821,0.112724340,0.080760294,0.990338830,88
184,1782805500.578846931,8.538757514,-10.861532225,18.428951818,0.112724340,0.080760294,0.990338830,88
185,1782805500.628644943,8.259938205,-11.875066875,18.732050892,0.114372089,0.077297744,0.990426213,83
186,1782805500.678679943,8.452187636,-11.493581836,17.769223048,0.112724340,0.080760294,0.990338830,88
187,1782805500.729026079,6.935082669,-12.236870583,20.135388408,0.142381052,-0.141556915,0.979637318,84
188,1782805500.778870106,8.986221948,-13.319813361,16.135242462,0.108236663,0.078052693,0.991056306,88
189,1782805500.828881979,8.838428909,-14.797485712,19.255146880,0.120383253,0.087057258,0.988902880,81
190,1782805500.879308939,7.342020051,-15.084536117,18.049275411,0.114372089,0.077297744,0.990426213,83
191,1782805500.929086924,6.941722110,-15.883331938,19.280927801,0.142381052,-0.141556915,0.979637318,84
192,1782805500.979123116,6.242682603,-17.218350079,23.809995421,0.214249633,-0.068386140,0.974382076,92
193,1782805501.029083967,5.976843911,-17.038552707,23.170072838,0.214249633,-0.068386140,0.974382076,92
194,1782805501.079298973,5.630921435,-18.353453667,20.392372744,0.125054587,0.084900492,0.988510626,79
195,1782805501.128930092,5.235283323,-18.509804730,21.822864760,0.220715842,-0.056614686,0.973693635,88
196,1782805501.178713083,6.292424671,-18.399339373,18.495493180,0.165101840,-0.121256971,0.978794222,87
197,1782805501.228960991,6.818743227,-16.134726240,14.329648158,0.169980873,-0.110460283,0.979236962,96
198,1782805501.278311968,6.722070979,-17.617336811,15.545042701,0.169980873,-0.110460283,0.979236962,96
199,1782805501.328543901,7.791729528,-16.627307418,12.182370556,0.101695516,0.075900650,0.991915880,92
200,1782805501.378577948,8.029314073,-17.279669973,11.967848735,0.101695516,0.075900650,0.991915880,92
201,1782805501.428153038,7.380256907,-17.333070050,11.984884689,0.101695516,0.075900650,0.991915880,92
202,1782805501.477951050,7.705096453,-16.970309014,10.709835921,0.095529408,0.062820824,0.993442337,89
203,1782805501.527962923,7.590116997,-16.918705798,10.552270441,0.095529408,0.062820824,0.993442337,89
204,1782805501.578231096,7.903988961,-17.324784796,9.907818933,0.095529408,0.062820824,0.993442337,89
205,1782805501.628190041,7.154012902,-17.757430429,11.963197903,0.101695516,0.075900650,0.991915880,92
206,1782805501.678381920,7.082017086,-18.942861350,15.067766673,0.169980873,-0.110460283,0.979236962,96
207,1782805501.728410959,7.088394305,-18.492395317,14.854481747,0.169980873,-0.110460283,0.979236962,96
208,1782805501.778820992,6.522766508,-19.216455235,15.844083827,0.116005142,0.081921093,0.989864507,85
209,1782805501.828639984,7.551382264,-19.125834206,14.403051324,0.169980873,-0.110460283,0.979236962,96
210,1782805501.878837109,8.646108965,-18.356779232,9.943038144,0.211991157,-0.119238695,0.969970042,90
211,1782805501.928483009,8.051105095,-18.564032254,10.384620377,0.095529408,0.062820824,0.993442337,89
212,1782805501.978874922,6.925299158,-20.361908149,13.631558395,0.106361818,0.063754751,0.992281460,90
213,1782805502.028829098,5.914184290,-20.943252437,15.585677388,0.112644532,0.072183491,0.991009966,86
214,1782805502.079062939,6.622649087,-21.274640105,16.287263485,0.116005142,0.081921093,0.989864507,85
215,1782805502.128693104,6.724628424,-20.291187327,12.072825867,0.106361818,0.063754751,0.992281460,90
216,1782805502.178940058,7.326694948,-20.741165362,11.483415187,0.101695516,0.075900650,0.991915880,92
217,1782805502.229079962,7.142429420,-19.105050778,11.474225143,0.101695516,0.075900650,0.991915880,92
218,1782805502.279058933,8.661245983,-19.856191434,9.574091326,0.211991157,-0.119238695,0.969970042,90
219,1782805502.328686953,7.403004154,-19.830647413,11.868377360,0.101695516,0.075900650,0.991915880,92
220,1782805502.378751040,6.352080638,-19.595691163,13.908110319,0.109494392,0.066123038,0.991785623,88
221,1782805502.429507971,6.513489918,-19.816314929,13.345904759,0.106361818,0.063754751,0.992281460,90
222,1782805502.479295015,6.646473015,-19.966810135,13.344611395,0.106361818,0.063754751,0.992281460,90
223,1782805502.529150009,7.345846544,-18.795833121,12.223081023,0.101695516,0.075900650,0.991915880,92
224,1782805502.579365969,7.675751917,-19.495308507,12.586054402,0.101695516,0.075900650,0.991915880,92
225,1782805502.629266024,6.017655459,-19.725930066,14.412332553,0.112644532,0.072183491,0.991009966,86
