timestamp,normal_type,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,fallback_unavailable,recovered_from_segmentation_failure
1784806284.122615,scored,-0.00320026,-0.334032,0.942556,162.167,-4.42095,0.148902,0,0.0967866,0.148902,0,0.0967866,19,3776,0.00503178,0,1,0
1784806284.122615,smoothed_raw,-0.0694659,-0.408462,0.910128,162.167,-4.42095,0.148902,0,0.0967866,0.148902,0,0.0967866,19,3776,0.00503178,0,1,0
1784806284.122615,smoothed_scored,-0.0295596,-0.363786,0.931013,162.167,-4.42095,0.148902,0,0.0967866,0.148902,0,0.0967866,19,3776,0.00503178,0,1,0
1784806284.222163,raw,-0.0799797,-0.144248,0.986304,164.799,-2.40754,0.097507,0.0441176,0.0788207,0.097507,0.0441176,0.0788207,24,5440,0.00441176,0,1,0
1784806284.222163,scored,-0.0799797,-0.144248,0.986304,164.799,-2.40754,0.097507,0.0441176,0.0788207,0.097507,0.0441176,0.0788207,24,5440,0.00441176,0,1,0
1784806284.222163,smoothed_raw,-0.0431999,-0.264122,0.963521,164.799,-2.40754,0.097507,0.0441176,0.0788207,0.097507,0.0441176,0.0788207,24,5440,0.00441176,0,1,0
1784806284.222163,smoothed_scored,-0.0630207,-0.192786,0.979215,164.799,-2.40754,0.097507,0.0441176,0.0788207,0.097507,0.0441176,0.0788207,24,5440,0.00441176,0,1,0
1784806284.271682,raw,-0.00340204,-0.124386,0.992228,164.347,3.06178,0.111263,0.0425296,0.0872061,0.111263,0.0425296,0.0872061,23,5408,0.00425296,0,1,0
1784806284.271682,scored,-0.00340204,-0.124386,0.992228,164.347,3.06178,0.111263,0.0425296,0.0872061,0.111263,0.0425296,0.0872061,23,5408,0.00425296,0,1,0
1784806284.271682,smoothed_raw,-0.0426547,-0.149803,0.987795,164.347,3.06178,0.111263,0.0425296,0.0872061,0.111263,0.0425296,0.0872061,23,5408,0.00425296,0,1,0
