timestamp,preprocessing_ms,plane_ms,total_ms,success
1784806299.622118,1.275000,0.000000,1.275000,1
1784806299.672358,0.707000,0.000000,0.707000,1
1784806299.721949,0.553000,0.000000,0.553000,1
1784806299.770951,0.505000,0.000000,0.505000,1
1784806299.820559,0.719000,0.000000,0.719000,1
1784806299.870767,0.460000,0.000000,0.460000,1
1784806299.920378,0.569000,0.000000,0.569000,1
1784806299.970218,1.011000,0.000000,1.011000,1
1784806300.020591,0.868000,0.000000,0.868000,1
1784806300.071119,0.954000,0.000000,0.954000,1
1784806300.120842,0.581000,0.000000,0.581000,1
1784806300.171406,1.288000,0.097000,1.385000,1
1784806300.221863,0.590000,0.000000,0.590000,1
1784806300.271437,0.961000,0.148000,1.109000,1
1784806300.321833,0.943000,0.000000,0.943000,1
1784806300.380634,0.777000,0.000000,0.777000,1
1784806300.431087,0.932000,0.000000,0.932000,1
1784806300.480702,1.229000,0.000000,1.229000,1
1784806300.530492,1.485000,0.208000,1.693000,1
1784806300.573307,3.953000,0.000000,3.953000,1
1784806300.621738,1.408000,0.000000,1.408000,1
1784806300.671499,3.014000,0.183000,3.197000,1
1784806300.721167,0.723000,0.000000,0.723000,1
1784806300.770971,0.623000,0.000000,0.623000,1
1784806300.820812,0.547000,0.000000,0.547000,1
1784806300.870552,2.508000,0.000000,2.508000,1
1784806300.920189,0.837000,0.000000,0.837000,1
1784806300.970561,0.606000,0.000000,0.606000,1
1784806301.019791,0.594000,0.000000,0.594000,1
1784806301.069770,0.529000,0.000000,0.529000,1
1784806301.120170,0.735000,0.000000,0.735000,1
1784806301.170967,0.852000,0.000000,0.852000,1
1784806301.220769,0.917000,0.000000,0.917000,1
1784806301.271013,3.184000,0.000000,3.184000,1
1784806301.321245,1.040000,0.000000,1.040000,1
1784806301.371380,0.967000,0.000000,0.967000,1
1784806301.421435,1.755000,0.077000,1.832000,1
1784806301.471443,1.439000,0.051000,1.490000,1
1784806301.521279,0.792000,0.074000,0.866000,1
1784806301.579849,0.801000,0.000000,0.801000,1
1784806301.629239,0.684000,0.000000,0.684000,1
1784806301.679095,1.275000,0.000000,1.275000,1
1784806301.724042,0.967000,0.000000,0.967000,1
1784806301.771928,0.866000,0.000000,0.866000,1
1784806301.821560,1.180000,0.000000,1.180000,1
1784806301.872071,0.732000,0.000000,0.732000,1
1784806301.921106,0.676000,0.000000,0.676000,1
1784806301.971196,4.605000,0.531000,5.136000,1
1784806302.020709,0.527000,0.000000,0.527000,1
1784806302.071119,0.436000,0.000000,0.436000,1
1784806302.120747,0.402000,0.000000,0.402000,1
1784806302.171171,0.800000,0.000000,0.800000,1
1784806302.220520,0.920000,0.000000,0.920000,1
1784806302.270350,0.629000,0.000000,0.629000,1
1784806302.320518,0.890000,0.000000,0.890000,1
1784806302.370923,0.770000,0.000000,0.770000,1
1784806302.421341,2.283000,0.000000,2.283000,1
1784806302.471403,0.623000,0.000000,0.623000,1
1784806302.521602,0.656000,0.000000,0.656000,1
1784806302.572067,0.713000,0.000000,0.713000,1
1784806302.621992,0.810000,0.000000,0.810000,1
1784806302.672413,0.837000,0.000000,0.837000,1
1784806302.731480,0.814000,0.000000,0.814000,1
1784806302.781218,1.536000,0.000000,1.536000,1
1784806302.830438,1.559000,0.000000,1.559000,1
1784806302.881086,1.546000,0.000000,1.546000,1
1784806302.922441,0.761000,0.000000,0.761000,1
1784806302.972610,0.748000,0.000000,0.748000,1
1784806303.022249,0.705000,0.000000,0.705000,1
1784806303.071643,0.620000,0.000000,0.620000,1
1784806303.121262,1.135000,0.000000,1.135000,1
1784806303.170927,0.756000,0.000000,0.756000,1
1784806303.219871,0.425000,0.074000,0.499000,1
1784806303.269507,0.671000,0.000000,0.671000,1
1784806303.319291,0.632000,0.000000,0.632000,1
1784806303.369316,0.628000,0.000000,0.628000,1
1784806303.418730,0.744000,0.000000,0.744000,1
1784806303.469300,0.745000,0.000000,0.745000,1
1784806303.518907,0.658000,0.000000,0.658000,1
1784806303.569345,0.534000,0.000000,0.534000,1
1784806303.619772,0.489000,0.000000,0.489000,1
1784806303.669517,0.558000,0.000000,0.558000,1
1784806303.720154,0.621000,0.000000,0.621000,1
1784806303.769764,0.855000,0.000000,0.855000,1
1784806303.820364,0.442000,0.000000,0.442000,1
1784806303.879384,0.475000,0.000000,0.475000,1
1784806303.928980,0.633000,0.000000,0.633000,1
1784806303.980791,0.746000,0.000000,0.746000,1
1784806304.029581,0.999000,0.091000,1.090000,1
1784806304.071633,0.753000,0.000000,0.753000,1
1784806304.121441,0.977000,0.000000,0.977000,1
1784806304.171275,0.788000,0.000000,0.788000,1
1784806304.221862,0.666000,0.000000,0.666000,1
1784806304.271447,0.582000,0.000000,0.582000,1
1784806304.321038,2.024000,0.000000,2.024000,1
1784806304.371457,0.720000,0.000000,0.720000,1
1784806304.421452,0.708000,0.000000,0.708000,1
1784806304.471662,1.679000,0.000000,1.679000,1
1784806304.522072,1.095000,0.000000,1.095000,1
1784806304.572461,1.089000,0.000000,1.089000,1
1784806304.622770,0.874000,0.000000,0.874000,1
1784806304.673090,0.851000,0.000000,0.851000,1
1784806304.723121,0.508000,0.000000,0.508000,1
1784806304.773138,0.942000,0.000000,0.942000,1
1784806304.822889,0.591000,0.000000,0.591000,1
1784806304.872469,0.563000,0.000000,0.563000,1
1784806304.922141,0.588000,0.000000,0.588000,1
1784806304.979351,0.656000,0.000000,0.656000,1
1784806305.028771,0.641000,0.109000,0.750000,1
1784806305.075556,0.637000,0.000000,0.637000,1
1784806305.120954,0.647000,0.000000,0.647000,1
1784806305.169184,0.626000,0.000000,0.626000,1
1784806305.218796,0.595000,0.000000,0.595000,1
1784806305.267999,0.533000,0.000000,0.533000,1
1784806305.317802,0.451000,0.000000,0.451000,1
1784806305.367389,0.445000,0.000000,0.445000,1
1784806305.416834,0.712000,0.000000,0.712000,1
1784806305.466617,0.780000,0.000000,0.780000,1
1784806305.516834,1.055000,0.000000,1.055000,1
1784806305.567245,0.947000,0.000000,0.947000,1
1784806305.617643,0.537000,0.000000,0.537000,1
1784806305.667234,0.481000,0.000000,0.481000,1
1784806305.717262,0.574000,0.000000,0.574000,1
