timestamp,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,fallback_unavailable
1762174418.586189,0.00835716,0.158018,-0.987401,-167.744,-3.94481,0.105823,0,0.0634941,0.105823,0,0.0634941,19,480,0.0395833,0,1
1762174418.636192,0.00388407,0.16095,-0.986955,-167.901,-3.89662,0.104114,0,0.0624686,0.104114,0,0.0624686,15,416,0.0360577,0,1
1762174418.686196,0.00400372,0.159561,-0.98718,-167.771,-3.89845,0.104965,0,0.0629788,0.104965,0,0.0629788,17,448,0.0379464,0,1
1762174418.736217,0.0185955,0.129847,-0.991359,-167.604,-4.115,0.10924,0,0.0655443,0.10924,0,0.0655443,17,464,0.0366379,0,1
1762174418.786242,0.0208709,0.138422,-0.990153,-167.846,-3.98491,0.105755,0,0.0634531,0.105755,0,0.0634531,19,512,0.0371094,0,1
1762174418.836306,0.0149307,0.132386,-0.991086,-167.731,-3.96529,0.106206,0,0.0637234,0.106206,0,0.0637234,19,512,0.0371094,0,1
1762174418.886278,0.0142403,0.141045,-0.989901,-167.714,-3.97574,0.10647,0,0.0638819,0.10647,0,0.0638819,19,496,0.0383065,0,1
1762174418.936216,0.00734157,0.160021,-0.987087,-167.821,-3.98527,0.10592,0,0.0635519,0.10592,0,0.0635519,18,512,0.0351562,0,1
1762174418.986249,0.00975958,0.155545,-0.98778,-167.696,-3.97376,0.106558,0,0.063935,0.106558,0,0.063935,17,432,0.0393519,0,1
1762174419.036208,0.0244493,0.132432,-0.99089,-167.796,-3.99194,0.106184,0,0.0637103,0.106184,0,0.0637103,17,480,0.0354167,0,1
1762174419.086297,0.0127398,0.139409,-0.990153,-167.674,-4.00725,0.107193,0.132576,0.117346,0.107193,0.132576,0.117346,21,528,0.0397727,0,1
1762174419.136238,0.000873349,0.122261,-0.992498,-167.663,-4.05621,0.10799,0,0.0647939,0.10799,0,0.0647939,16,480,0.0333333,0,1
1762174419.186283,-0.000138935,0.123317,-0.992367,-167.8,-3.93181,0.105272,0,0.0631634,0.105272,0,0.0631634,17,480,0.0354167,0,1
1762174419.236262,0.0144534,0.129169,-0.991517,-167.578,-4.07964,0.108888,0,0.065333,0.108888,0,0.065333,14,448,0.03125,0,1
1762174419.286316,0.00712491,0.135687,-0.990726,-167.825,-4.03541,0.10663,0,0.0639779,0.10663,0,0.0639779,17,464,0.0366379,0,1
1762174419.336278,0.00165882,0.140607,-0.990064,-167.812,-3.87975,0.104432,0,0.0626591,0.104432,0,0.0626591,17,480,0.0354167,0,1
1762174419.386333,-0.00370858,0.130848,-0.991395,-167.682,-3.98041,0.106742,0,0.064045,0.106742,0,0.064045,15,432,0.0347222,0,1
1762174419.436286,-0.00732936,0.133424,-0.991032,-167.829,-3.82147,0.103469,0,0.0620815,0.103469,0,0.0620815,15,416,0.0360577,0,1
1762174419.486339,-0.00120682,0.131133,-0.991364,-167.636,-3.8928,0.10574,0,0.0634443,0.10574,0,0.0634443,16,432,0.037037,0,1
1762174419.536314,0.00444284,0.116956,-0.993127,-167.634,-4.01362,0.107548,0,0.0645286,0.107548,0,0.0645286,17,464,0.0366379,0,1
1762174419.586287,-0.00246471,0.122727,-0.992438,-167.639,-3.96411,0.10678,0,0.0640681,0.10678,0,0.0640681,15,448,0.0334821,0,1
1762174419.636277,0.004995,0.131839,-0.991259,-167.67,-3.89884,0.105613,0,0.0633678,0.105613,0,0.0633678,16,448,0.0357143,0,1
1762174419.686363,0.0100368,0.133801,-0.990957,-167.639,-3.95438,0.106637,0,0.0639825,0.106637,0,0.0639825,17,432,0.0393519,0,1
