timestamp,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,fallback_unavailable
1762174418.736217,0.0185955,0.129847,-0.991359,24.7717,8.08721,0.275237,0,0.165142,0.275237,0,0.165142,17,464,0.0366379,0,1
1762174418.786242,0.0208709,0.138422,-0.990153,24.4678,7.72749,0.264585,0,0.158751,0.264585,0,0.158751,19,512,0.0371094,0,1
1762174418.836306,0.0149307,0.132386,-0.991086,24.7826,7.74706,0.267244,0,0.160346,0.267244,0,0.160346,19,512,0.0371094,0,1
1762174418.886278,0.0142403,0.141045,-0.989901,24.6111,7.71364,0.26526,0,0.159156,0.26526,0,0.159156,19,496,0.0383065,0,1
1762174418.936216,0.00734157,0.160021,-0.987087,24.5987,7.75244,0.266091,0,0.159655,0.266091,0,0.159655,18,512,0.0351562,0,1
1762174418.986249,0.00975958,0.155545,-0.98778,24.7865,7.68255,0.265737,0,0.159442,0.265737,0,0.159442,17,432,0.0393519,0,1
1762174419.036208,0.0244493,0.132432,-0.99089,24.5245,7.80232,0.266748,0,0.160049,0.266748,0,0.160049,17,480,0.0354167,0,1
1762174419.086297,0.0127398,0.139409,-0.990153,24.6283,7.70968,0.265286,0.132576,0.212202,0.265286,0.132576,0.212202,21,528,0.0397727,0,0
1762174419.136238,0.000873349,0.122261,-0.992498,24.6286,7.79145,0.267223,0,0.160334,0.267223,0,0.160334,16,480,0.0333333,0,1
1762174419.186283,-0.000138935,0.123317,-0.992367,24.5324,7.66057,0.263457,0,0.158074,0.263457,0,0.158074,17,480,0.0354167,0,1
1762174419.236262,0.0144534,0.129169,-0.991517,24.6504,7.8088,0.267787,0,0.160672,0.267787,0,0.160672,14,448,0.03125,0,1
1762174419.286316,0.00712491,0.135687,-0.990726,24.4947,7.99294,0.271029,0,0.162617,0.271029,0,0.162617,17,464,0.0366379,0,1
1762174419.336278,0.00165882,0.140607,-0.990064,24.4474,7.56221,0.260545,0,0.156327,0.260545,0,0.156327,17,480,0.0354167,0,1
1762174419.386333,-0.00370858,0.130848,-0.991395,24.6828,7.7064,0.265586,0,0.159352,0.265586,0,0.159352,15,432,0.0347222,0,1
1762174419.436286,-0.00732936,0.133424,-0.991032,24.4489,7.57834,0.260936,0,0.156561,0.260936,0,0.156561,15,416,0.0360577,0,1
1762174419.486339,0.00121349,0.13211,-0.991234,24.8137,7.82663,0.269352,0,0.161611,0.269352,0,0.161611,16,432,0.037037,0,1
1762174419.536314,0.00444284,0.116956,-0.993127,24.6967,7.70111,0.265557,0,0.159334,0.265557,0,0.159334,17,464,0.0366379,0,1
1762174419.586287,-0.00246471,0.122727,-0.992438,24.7464,7.73553,0.266719,0,0.160031,0.266719,0,0.160031,15,448,0.0334821,0,1
1762174419.636277,0.004995,0.131839,-0.991259,24.7908,7.67702,0.265636,0,0.159381,0.265636,0,0.159381,16,448,0.0357143,0,1
1762174419.686363,0.0100368,0.133801,-0.990957,24.7438,7.72882,0.266542,0,0.159925,0.266542,0,0.159925,17,432,0.0393519,0,1
1762174419.736304,0.00822772,0.148226,-0.988919,24.6264,7.56374,0.261815,0,0.157089,0.261815,0,0.157089,18,512,0.0351562,0,1
1762174419.786358,0.010356,0.152539,-0.988243,24.6237,7.83056,0.268114,0,0.160868,0.268114,0,0.160868,16,480,0.0333333,0,1
1762174419.836329,0.0071819,0.158839,-0.987278,24.7436,7.82426,0.268806,0,0.161284,0.268806,0,0.161284,17,448,0.0379464,0,1
1762174419.886371,0.00997965,0.155425,-0.987797,24.6948,7.57486,0.262548,0,0.157529,0.262548,0,0.157529,15,416,0.0360577,0,1
1762174419.936327,0.00874126,0.155736,-0.987761,24.5539,7.58253,0.26176,0.136719,0.211744,0.26176,0.136719,0.211744,21,512,0.0410156,0,0
1762174419.986349,0.0221752,0.132678,-0.990911,24.8243,7.81449,0.269137,0,0.161482,0.269137,0,0.161482,16,464,0.0344828,0,1
1762174420.036360,0.0172602,0.149203,-0.988656,24.7324,7.9012,0.270551,0,0.162331,0.270551,0,0.162331,17,496,0.0342742,0,1
1762174420.086386,0.0172764,0.153714,-0.987965,24.587,7.79493,0.267014,0,0.160208,0.267014,0,0.160208,18,496,0.0362903,0,1
1762174420.136347,0.0137684,0.139244,-0.990162,24.8337,7.80617,0.269004,0.130208,0.213486,0.269004,0.130208,0.213486,20,512,0.0390625,0,0
1762174420.186481,0.0146915,0.148207,-0.988847,24.8216,7.90746,0.271328,0.126263,0.213302,0.271328,0.126263,0.213302,20,528,0.0378788,0,0
1762174420.236389,0.0135664,0.145291,-0.989296,24.7401,8.03559,0.27379,0,0.164274,0.27379,0,0.164274,19,496,0.0383065,0,1
1762174420.286403,0.00938081,0.142748,-0.989715,24.8581,7.82132,0.269535,0,0.161721,0.269535,0,0.161721,19,512,0.0371094,0,1
1762174420.336376,0.00906976,0.148572,-0.98886,24.5322,7.8688,0.268371,0,0.161023,0.268371,0,0.161023,17,512,0.0332031,0,1
1762174420.386411,0.016402,0.12839,-0.991588,24.6795,7.70707,0.265579,0,0.159348,0.265579,0,0.159348,17,464,0.0366379,0,1
1762174420.436420,0.00497356,0.127251,-0.991858,24.7746,7.62656,0.264324,0,0.158594,0.264324,0,0.158594,17,480,0.0354167,0,1
