timestamp,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback
1.76217e+09,-0.00762838,0.112416,-0.993632,167.842,-4.05354,0.106788,0,0.0640728,0.106788,0,0.0640728,15,464,0.0323276,0
1.76217e+09,-0.00404248,0.115359,-0.993316,167.705,-4.02953,0.107324,0,0.0643941,0.107324,0,0.0643941,19,512,0.0371094,0
1.76217e+09,-0.00414738,0.121154,-0.992625,167.709,-4.15074,0.109086,0,0.0654515,0.109086,0,0.0654515,16,480,0.0333333,0
1.76217e+09,-0.00495369,0.112769,-0.993609,167.794,-4.1106,0.107937,0,0.064762,0.107937,0,0.064762,16,496,0.0322581,0
1.76217e+09,-0.0107757,0.112977,-0.993539,167.833,-4.09241,0.107417,0,0.0644502,0.107417,0,0.0644502,17,496,0.0342742,0
1.76217e+09,-0.0107594,0.115532,-0.993246,167.626,-4.15082,0.10963,0,0.0657783,0.10963,0,0.0657783,18,528,0.0340909,0
1.76217e+09,-0.00735784,0.116664,-0.993144,167.758,-4.14256,0.108642,0.130952,0.117566,0.108642,0.130952,0.117566,22,560,0.0392857,0
1.76217e+09,-0.00613366,0.117639,-0.993038,167.7,-4.12409,0.108749,0.130208,0.117333,0.108749,0.130208,0.117333,20,512,0.0390625,0
1.76217e+09,-0.00523357,0.119335,-0.99284,167.755,-4.02003,0.106859,0.140931,0.120488,0.106859,0.140931,0.120488,23,544,0.0422794,0
1.76217e+09,-0.00538339,0.120402,-0.992711,167.792,-3.90093,0.104868,0,0.0629207,0.104868,0,0.0629207,16,464,0.0344828,0
1.76217e+09,-0.00686317,0.122931,-0.992391,167.895,-4.17093,0.108152,0,0.0648911,0.108152,0,0.0648911,17,464,0.0366379,0
1.76217e+09,-0.00242813,0.118359,-0.992968,167.97,-4.06561,0.106127,0,0.0636764,0.106127,0,0.0636764,16,480,0.0333333,0
1.76217e+09,-0.00383521,0.117605,-0.993053,167.759,-4.16729,0.108997,0,0.0653984,0.108997,0,0.0653984,16,464,0.0344828,0
1.76217e+09,-0.00838557,0.126633,-0.991914,167.84,-3.97929,0.105711,0,0.0634265,0.105711,0,0.0634265,19,496,0.0383065,0
1.76217e+09,-0.00185512,0.11538,-0.99332,167.877,-4.20326,0.108747,0,0.0652484,0.108747,0,0.0652484,15,464,0.0323276,0
1.76217e+09,-0.00286246,0.125809,-0.992051,167.946,-4.14953,0.107506,0,0.0645035,0.107506,0,0.0645035,15,448,0.0334821,0
1.76217e+09,0.000443114,0.122799,-0.992432,167.645,-4.05516,0.108091,0,0.0648546,0.108091,0,0.0648546,16,432,0.037037,0
1.76217e+09,0.000470583,0.121224,-0.992625,167.726,-4.02786,0.107165,0,0.0642987,0.107165,0,0.0642987,18,448,0.0401786,0
1.76217e+09,-0.00173888,0.120205,-0.992748,167.845,-4.1369,0.107985,0,0.0647912,0.107985,0,0.0647912,17,448,0.0379464,0
1.76217e+09,0.00651942,0.127985,-0.991755,167.7,-4.07842,0.108076,0,0.0648457,0.108076,0,0.0648457,16,464,0.0344828,0
1.76217e+09,0.0100368,0.133801,-0.990957,167.737,-3.91567,0.105437,0,0.0632623,0.105437,0,0.0632623,17,432,0.0393519,0
1.76217e+09,0.00822772,0.148226,-0.988919,167.831,-4.05569,0.106893,0,0.0641359,0.106893,0,0.0641359,18,512,0.0351562,0
1.76217e+09,0.010356,0.152539,-0.988243,167.836,-3.89014,0.104435,0,0.0626607,0.104435,0,0.0626607,16,480,0.0333333,0
1.76217e+09,0.0071819,0.158839,-0.987278,167.861,-4.06717,0.106862,0,0.0641175,0.106862,0,0.0641175,17,448,0.0379464,0
1.76217e+09,0.00997965,0.155425,-0.987797,167.911,-3.98035,0.105273,0,0.0631639,0.105273,0,0.0631639,15,416,0.0360577,0
1.76217e+09,0.00874126,0.155736,-0.987761,167.796,-4.15266,0.108538,0.136719,0.119811,0.108538,0.136719,0.119811,21,512,0.0410156,0
1.76217e+09,0.0221752,0.132678,-0.990911,167.741,-3.99926,0.106641,0,0.0639844,0.106641,0,0.0639844,16,464,0.0344828,0
1.76217e+09,0.0172602,0.149203,-0.988656,167.646,-4.16371,0.10969,0,0.0658141,0.10969,0,0.0658141,17,496,0.0342742,0
1.76217e+09,0.0161556,0.150379,-0.988497,167.748,-3.82935,0.104095,0,0.0624569,0.104095,0,0.0624569,18,496,0.0362903,0
1.76217e+09,0.0137684,0.139244,-0.990162,167.86,-4.15769,0.10819,0.130208,0.116997,0.10819,0.130208,0.116997,20,512,0.0390625,0
1.76217e+09,0.0146915,0.148207,-0.988847,167.824,-4.02637,0.106505,0.126263,0.114408,0.106505,0.126263,0.114408,20,528,0.0378788,0
1.76217e+09,0.0135664,0.145291,-0.989296,167.886,-4.0332,0.106205,0,0.063723,0.106205,0,0.063723,19,496,0.0383065,0
1.76217e+09,0.00938081,0.142748,-0.989715,167.849,-4.17759,0.108559,0,0.0651357,0.108559,0,0.0651357,19,512,0.0371094,0
1.76217e+09,0.00906976,0.148572,-0.98886,167.662,-4.10335,0.108692,0,0.0652154,0.108692,0,0.0652154,17,512,0.0332031,0
1.76217e+09,0.016402,0.12839,-0.991588,167.69,-4.1309,0.108915,0,0.0653492,0.108915,0,0.0653492,17,464,0.0366379,0
1.76217e+09,0.00497356,0.127251,-0.991858,167.756,-4.12655,0.108417,0,0.0650502,0.108417,0,0.0650502,17,480,0.0354167,0
1.76217e+09,0.00384931,0.126827,-0.991917,167.65,-4.09788,0.108688,0,0.065213,0.108688,0,0.065213,18,496,0.0362903,0
1.76217e+09,-0.00226919,0.121808,-0.992551,167.784,-3.99047,0.106236,0,0.0637415,0.106236,0,0.0637415,16,416,0.0384615,0
